seed,data,method,wandb_url,Accuracy,TPR,TNR,Renyi preds and s,Accuracy_colour_1.0,Accuracy_colour_0.0,Accuracy_colour_0.0-colour_1.0,Accuracy_colour_0.0/colour_1.0,prob_pos_colour_1.0,prob_pos_colour_0.0,prob_pos_colour_0.0-colour_1.0,prob_pos_colour_0.0/colour_1.0,TPR_colour_1.0,TPR_colour_0.0,TPR_colour_0.0-colour_1.0,TPR_colour_0.0/colour_1.0,TNR_colour_1.0,TNR_colour_0.0,TNR_colour_0.0-colour_1.0,TNR_colour_0.0/colour_1.0
12,baseline,"cnn",(None),0.7701092353525323,0.5346232179226069,0.9941860465116279,0.5790812374963571,0.9942307692307693,0.5308008213552361,0.46342994787553315,0.5338809034907597,0.510576923076923,0.0,0.510576923076923,0.0,1.0,0.0,1.0,0.0,0.9883495145631068,1.0,0.011650485436893177,0.9883495145631068
13,baseline,"cnn",(None),0.7547169811320755,0.4989816700610998,0.998062015503876,0.5748035543302101,0.9979919678714859,0.5166994106090373,0.4812925572624486,0.5177390472501018,0.4939759036144578,0.0,0.4939759036144578,0.0,1.0,0.0,1.0,0.0,0.9960474308300395,1.0,0.0039525691699604515,0.9960474308300395
20,baseline,"cnn",(None),0.7512413108242304,0.48981670061099797,1.0,0.5640536816412016,1.0,0.5059171597633136,0.49408284023668636,0.5059171597633136,0.481,0.0,0.481,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
21,baseline,"cnn",(None),0.7497517378351539,0.4908350305498982,0.9961240310077519,0.5628516003751369,0.5024875621890548,0.9960356788899901,0.49354811670093535,0.5044875126853297,0.0,0.48166501486620417,0.48166501486620417,0.0,0.0,1.0,1.0,0.0,1.0,0.9924098671726755,0.007590132827324458,0.9924098671726755
22,baseline,"cnn",(None),0.7636544190665343,0.5203665987780041,0.9951550387596899,0.5685432113050248,0.9942252165543792,0.517948717948718,0.47627649860566124,0.5209571325737832,0.4966313763233879,0.0,0.4966313763233879,0.0,0.998046875,0.0,0.998046875,0.0,0.9905123339658444,1.0,0.009487666034155628,0.9905123339658444
23,baseline,"cnn",(None),0.7512413108242304,0.49490835030549896,0.9951550387596899,0.5644209305900312,0.5044955044955045,0.9950641658440277,0.49056866134852317,0.5069979623551052,0.0,0.4846989141164857,0.4846989141164857,0.0,0.0,1.0,1.0,0.0,1.0,0.9905123339658444,0.009487666034155628,0.9905123339658444
14,baseline,"cnn",(None),0.7586891757696127,0.5091649694501018,0.9961240310077519,0.5829192237616988,0.9959919839679359,0.5255905511811023,0.47040143278683355,0.5277056037009458,0.5050100200400801,0.0,0.5050100200400801,0.0,1.0,0.0,1.0,0.0,0.9919678714859438,1.0,0.008032128514056214,0.9919678714859438
15,baseline,"cnn",(None),0.7452830188679245,0.48268839103869654,0.9951550387596899,0.567563628336779,0.5034213098729228,0.9949545913218971,0.49153328144897435,0.5059741562718727,0.0,0.48335015136226034,0.48335015136226034,0.0,0.0,1.0,1.0,0.0,1.0,0.9903288201160542,0.009671179883945835,0.9903288201160542
16,baseline,"cnn",(None),0.7418073485600795,0.47657841140529533,0.9941860465116279,0.5631167195907949,0.9929435483870968,0.4980430528375734,0.49490049554952337,0.5015824450912414,0.4778225806451613,0.0,0.4778225806451613,0.0,0.997867803837953,0.0,0.997867803837953,0.0,0.988527724665392,1.0,0.01147227533460804,0.988527724665392
24,baseline,"cnn",(None),0.7457795431976166,0.4786150712830957,1.0,0.5500870873069217,0.4900398406374502,1.0,0.5099601593625498,0.4900398406374502,0.0,0.46534653465346537,0.46534653465346537,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
25,baseline,"cnn",(None),0.7567030784508441,0.5071283095723014,0.9941860465116279,0.579456214706864,0.5207920792079208,0.9940239043824701,0.4732318251745493,0.5239230937121768,0.0,0.50199203187251,0.50199203187251,0.0,0.0,1.0,1.0,0.0,1.0,0.9881422924901185,0.011857707509881465,0.9881422924901185
26,baseline,"cnn",(None),0.7616683217477657,0.515274949083503,0.9961240310077519,0.5595756016193709,0.9961649089165868,0.509783728115345,0.4863811808012418,0.5117463218713232,0.48801534036433364,0.0010298661174047373,0.4869854742469289,0.0021103150500061713,1.0,0.0020964360587002098,0.9979035639412998,0.0020964360587002098,0.9925650557620818,1.0,0.0074349442379182396,0.9925650557620818
17,baseline,"cnn",(None),0.7418073485600795,0.4775967413441955,0.9932170542635659,0.5657931558037839,0.9929292929292929,0.4990234375,0.4939058554292929,0.5025770123346898,0.4808080808080808,0.0,0.4808080808080808,0.0,1.0,0.0,1.0,0.0,0.9865642994241842,1.0,0.013435700575815779,0.9865642994241842
18,baseline,"cnn",(None),0.7492552135054618,0.48879837067209775,0.997093023255814,0.5586166885072432,0.996,0.5059171597633136,0.49008284023668636,0.5079489555856562,0.48,0.0029585798816568047,0.47704142011834316,0.00616370808678501,0.997907949790795,0.005952380952380952,0.9919555688384141,0.005964859738444643,0.9942528735632183,1.0,0.005747126436781658,0.9942528735632183
19,baseline,"cnn",(None),0.7527308838133069,0.4969450101832994,0.9961240310077519,0.5748035543302101,0.5147347740667977,0.9959839357429718,0.48124916167617415,0.5168103175106155,0.0,0.4939759036144578,0.4939759036144578,0.0,0.0,1.0,1.0,0.0,1.0,0.9921259842519685,0.007874015748031482,0.9921259842519685
27,baseline,"cnn",(None),0.733862959285005,0.46130346232179226,0.9932170542635659,0.5429963057998504,0.9928789420142421,0.486905916585839,0.5059730254284032,0.4903980696761063,0.46185147507629704,0.005819592628516004,0.45603188244778103,0.01260057170447408,1.0,0.011214953271028037,0.9887850467289719,0.011214953271028037,0.9869402985074627,1.0,0.013059701492537323,0.9869402985074627
28,baseline,"cnn",(None),0.7706057596822244,0.5305498981670062,0.999031007751938,0.5758688306346116,0.5315040650406504,0.9990291262135922,0.4675250611729418,0.5320205898851992,0.0010162601626016261,0.5058252427184466,0.504808982555845,0.0020091131813429457,0.0021645021645021645,1.0,0.9978354978354979,0.0021645021645021645,1.0,0.9980392156862745,0.0019607843137254832,0.9980392156862745
29,baseline,"cnn",(None),0.7552135054617676,0.5,0.998062015503876,0.5609049088052255,0.9980430528375733,0.5050403225806451,0.4930027302569282,0.5060305977229601,0.48238747553816047,0.0,0.48238747553816047,0.0,1.0,0.0,1.0,0.0,0.9962335216572504,1.0,0.0037664783427495685,0.9962335216572504
