bias.missing_s,bias.mixing_factor,bias.adult_biased_train,bias.log_dataset,baseline.greyscale,baseline.labelled_context_set,baseline.epochs,baseline.test_batch_size,baseline.batch_size,baseline.lr,baseline.weight_decay,baseline.eta,baseline.c,baseline.method,baseline.oversample,data.log_name,data.data_pcnt,data.context_pcnt,data.test_pcnt,data.root,data.transductive,data.drop_native,data.adult_split,data.drop_discrete,data.adult_balanced_test,data.balance_all_quadrants,misc.cluster_label_file,misc.exp_group,misc.log_method,misc.use_wandb,misc.gpu,misc.use_amp,misc.seed,misc.data_split_seed,misc.save_dir,misc.results_csv,misc.resume,misc.evaluate,misc.num_workers,misc.device,misc.use_gpu,Accuracy (lff),TPR (lff),TNR (lff),Renyi preds and s (lff),Accuracy_sex_Male_1.0 (lff),Accuracy_sex_Male_0.0 (lff),Accuracy_sex_Male_0.0-sex_Male_1.0 (lff),Accuracy_sex_Male_0.0÷sex_Male_1.0 (lff),prob_pos_sex_Male_1.0 (lff),prob_pos_sex_Male_0.0 (lff),prob_pos_sex_Male_0.0-sex_Male_1.0 (lff),prob_pos_sex_Male_0.0÷sex_Male_1.0 (lff),TPR_sex_Male_1.0 (lff),TPR_sex_Male_0.0 (lff),TPR_sex_Male_0.0-sex_Male_1.0 (lff),TPR_sex_Male_0.0÷sex_Male_1.0 (lff),TNR_sex_Male_1.0 (lff),TNR_sex_Male_0.0 (lff),TNR_sex_Male_0.0-sex_Male_1.0 (lff),TNR_sex_Male_0.0÷sex_Male_1.0 (lff)
[],0.0,True,partial,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_lff,True,0,False,3,3,results/adult/partial_outcome/,,,False,4,cuda:0,True,0.2110778443113772,0.3532934131736527,0.0688622754491018,0.0249840241158533,0.2410179640718563,0.1811377245508982,0.059880239520958,0.7515527950310559,0.6541916167664671,0.6302395209580839,0.0239520958083832,0.9633867276887872,0.3952095808383233,0.311377245508982,0.0838323353293413,0.7878787878787878,0.0868263473053892,0.0508982035928143,0.0359281437125748,0.5862068965517241
[],0.0,True,partial,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_lff,True,0,False,5,5,results/adult/partial_outcome/,,,False,4,cuda:0,True,0.3413173652694611,0.625748502994012,0.0568862275449101,0.3349198883867312,0.2604790419161676,0.4221556886227545,0.1616766467065868,0.6170212765957447,0.6467065868263473,0.9221556886227544,0.2754491017964072,0.7012987012987012,0.4071856287425149,0.844311377245509,0.437125748502994,0.4822695035460992,0.1137724550898203,0.0,0.1137724550898203,0.0
[],0.0,True,partial,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_lff,True,0,False,15,15,results/adult/partial_outcome/,,,False,4,cuda:0,True,0.2357784431137724,0.3817365269461077,0.0898203592814371,0.0266080441906058,0.2664670658682634,0.2050898203592814,0.061377245508982,0.7696629213483147,0.6586826347305389,0.6332335329341318,0.0254491017964071,0.9613636363636364,0.4251497005988024,0.3383233532934132,0.0868263473053892,0.7957746478873239,0.1077844311377245,0.0718562874251497,0.0359281437125748,0.6666666666666666
[],0.0,True,partial,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_lff,True,0,False,16,16,results/adult/partial_outcome/,,,False,4,cuda:0,True,0.2267964071856287,0.3577844311377245,0.0958083832335329,0.0480866416153275,0.2395209580838323,0.2140718562874251,0.0254491017964071,0.8937499999999999,0.6077844311377245,0.6541916167664671,0.0464071856287425,0.9290617848970252,0.3473053892215569,0.3682634730538922,0.0209580838323353,0.943089430894309,0.1317365269461078,0.059880239520958,0.0718562874251497,0.4545454545454545
[],0.0,True,partial,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_lff,True,0,False,18,18,results/adult/partial_outcome/,,,False,4,cuda:0,True,0.2470059880239521,0.4550898203592814,0.0389221556886227,0.0197561981932646,0.2589820359281437,0.2350299401197604,0.0239520958083832,0.907514450867052,0.7170658682634731,0.6991017964071856,0.0179640718562874,0.974947807933194,0.4760479041916167,0.4341317365269461,0.0419161676646706,0.9119496855345912,0.0419161676646706,0.0359281437125748,0.0059880239520958,0.8571428571428572
[],0.0,True,partial,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_lff,True,0,False,17,17,results/adult/partial_outcome/,,,False,4,cuda:0,True,0.2140718562874251,0.3577844311377245,0.0703592814371257,0.0281332433688448,0.2470059880239521,0.1811377245508982,0.0658682634730538,0.7333333333333334,0.657185628742515,0.6302395209580839,0.026946107784431,0.958997722095672,0.4041916167664671,0.311377245508982,0.092814371257485,0.7703703703703704,0.0898203592814371,0.0508982035928143,0.0389221556886227,0.5666666666666667
[],0.0,True,partial,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_lff,True,0,False,19,19,results/adult/partial_outcome/,,,False,4,cuda:0,True,0.217814371257485,0.3607784431137724,0.0748502994011976,0.0203089551670465,0.2455089820359281,0.1901197604790419,0.0553892215568862,0.774390243902439,0.6526946107784432,0.6332335329341318,0.0194610778443113,0.970183486238532,0.3982035928143712,0.3233532934131736,0.0748502994011975,0.81203007518797,0.092814371257485,0.0568862275449101,0.0359281437125748,0.6129032258064516
[],0.0,True,partial,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_lff,True,0,False,20,20,results/adult/partial_outcome/,,,False,4,cuda:0,True,0.2148203592814371,0.3697604790419161,0.059880239520958,0.0834490468186214,0.2425149700598802,0.187125748502994,0.0553892215568862,0.7716049382716049,0.6946107784431138,0.6152694610778443,0.0793413173652695,0.8857758620689654,0.437125748502994,0.3023952095808383,0.1347305389221557,0.6917808219178082,0.0479041916167664,0.0718562874251497,0.0239520958083832,0.6666666666666667
[],0.0,True,partial,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_lff,True,0,False,7,7,results/adult/partial_outcome/,,,False,4,cuda:0,True,0.2238023952095808,0.3547904191616766,0.092814371257485,0.0077559099379561,0.2335329341317365,0.2140718562874251,0.0194610778443113,0.9166666666666666,0.6347305389221557,0.6272455089820359,0.0074850299401197,0.9882075471698112,0.3682634730538922,0.3413173652694611,0.0269461077844311,0.926829268292683,0.0988023952095808,0.0868263473053892,0.0119760479041916,0.8787878787878788
[],0.0,True,partial,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_lff,True,0,False,8,8,results/adult/partial_outcome/,,,False,4,cuda:0,True,0.3196107784431137,0.5808383233532934,0.0583832335329341,0.2861750625486061,0.2529940119760479,0.3862275449101796,0.1332335329341317,0.6550387596899225,0.6392215568862275,0.8832335329341318,0.2440119760479042,0.723728813559322,0.3922155688622754,0.7694610778443114,0.3772455089820359,0.5097276264591439,0.1137724550898203,0.0029940119760479,0.1107784431137724,0.0263157894736842
[],0.0,True,partial,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_lff,True,0,False,6,6,results/adult/partial_outcome/,,,False,4,cuda:0,True,0.2252994011976048,0.3772455089820359,0.0733532934131736,0.0109992351308039,0.2440119760479042,0.2065868263473053,0.0374251497005988,0.8466257668711655,0.657185628742515,0.6467065868263473,0.0104790419161676,0.9840546697038725,0.4011976047904191,0.3532934131736527,0.0479041916167664,0.8805970149253731,0.0868263473053892,0.059880239520958,0.0269461077844311,0.689655172413793
[],0.0,True,partial,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_lff,True,0,False,22,22,results/adult/partial_outcome/,,,False,4,cuda:0,True,0.218562874251497,0.3502994011976048,0.0868263473053892,0.0310367487823362,0.2604790419161676,0.1766467065868263,0.0838323353293413,0.67816091954023,0.6467065868263473,0.6167664670658682,0.029940119760479,0.9537037037037036,0.4071856287425149,0.2934131736526946,0.1137724550898203,0.7205882352941176,0.1137724550898203,0.059880239520958,0.0538922155688622,0.5263157894736842
[],0.0,True,partial,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_lff,True,0,False,21,21,results/adult/partial_outcome/,,,False,4,cuda:0,True,0.2282934131736527,0.3502994011976048,0.1062874251497006,0.0509410319953505,0.2544910179640718,0.2020958083832335,0.0523952095808383,0.7941176470588236,0.6467065868263473,0.5973053892215568,0.0494011976047904,0.923611111111111,0.4011976047904191,0.2994011976047904,0.1017964071856287,0.7462686567164178,0.1077844311377245,0.1047904191616766,0.0029940119760479,0.972222222222222
[],0.0,True,partial,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_lff,True,0,False,23,23,results/adult/partial_outcome/,,,False,4,cuda:0,True,0.3143712574850299,0.6017964071856288,0.0269461077844311,0.2890613635740962,0.2230538922155688,0.405688622754491,0.1826347305389221,0.5498154981549815,0.6691616766467066,0.905688622754491,0.2365269461077844,0.7388429752066116,0.3922155688622754,0.811377245508982,0.4191616766467066,0.4833948339483394,0.0538922155688622,0.0,0.0538922155688622,0.0
[],0.0,True,partial,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_lff,True,0,False,25,25,results/adult/partial_outcome/,,,False,4,cuda:0,True,0.2649700598802395,0.4700598802395209,0.059880239520958,0.0952038324287354,0.3023952095808383,0.2275449101796407,0.0748502994011976,0.7524752475247525,0.7485029940119761,0.6616766467065869,0.0868263473053891,0.884,0.5508982035928144,0.3892215568862275,0.1616766467065868,0.7065217391304348,0.0538922155688622,0.0658682634730539,0.0119760479041916,0.8181818181818181
