seed,data,method,wandb_url,eta,Accuracy,TPR,TNR,Renyi preds and s,Accuracy_colour_2.0,Accuracy_colour_0.0,Accuracy_colour_1.0,Accuracy_colour_0.0-colour_1.0,Accuracy_colour_0.0-colour_2.0,Accuracy_colour_1.0-colour_2.0,Accuracy_colour_0.0/colour_1.0,Accuracy_colour_0.0/colour_2.0,Accuracy_colour_1.0/colour_2.0,prob_pos_colour_2.0,prob_pos_colour_0.0,prob_pos_colour_1.0,prob_pos_colour_0.0-colour_1.0,prob_pos_colour_0.0-colour_2.0,prob_pos_colour_1.0-colour_2.0,prob_pos_colour_0.0/colour_1.0,prob_pos_colour_0.0/colour_2.0,prob_pos_colour_1.0/colour_2.0,TPR_colour_2.0,TPR_colour_0.0,TPR_colour_1.0,TPR_colour_0.0-colour_1.0,TPR_colour_0.0-colour_2.0,TPR_colour_1.0-colour_2.0,TPR_colour_0.0/colour_1.0,TPR_colour_0.0/colour_2.0,TPR_colour_1.0/colour_2.0,TNR_colour_2.0,TNR_colour_0.0,TNR_colour_1.0,TNR_colour_0.0-colour_1.0,TNR_colour_0.0-colour_2.0,TNR_colour_1.0-colour_2.0,TNR_colour_0.0/colour_1.0,TNR_colour_0.0/colour_2.0,TNR_colour_1.0/colour_2.0
8,baseline,"dro",(None),0.5,0.8157894736842105,0.639511201629328,0.9835271317829457,0.4942871856050905,0.9797687861271677,0.4890829694323144,0.9905511811023622,0.01078239497519451,0.5014682116700477,0.4906858166948533,0.9891147522905429,0.49374830777348117,0.4991820277981734,0.49710982658959535,0.0,0.47401574803149604,0.023094078558099307,0.47401574803149604,0.49710982658959535,0.9535433070866142,0.0,0.0,1.0,0.0,0.9900332225913622,0.009966777408637828,0.9900332225913622,1.0,0.9900332225913622,0.0,0.0,0.9613259668508287,1.0,0.9910179640718563,0.029691997221027555,0.008982035928143728,0.03867403314917128,0.9700388910216822,0.9910179640718563,0.9613259668508287
8,baseline,"dro",(None),1.0,0.7701092353525323,0.6415478615071283,0.8924418604651163,0.5524457600443324,0.953757225433526,0.4890829694323144,0.8740157480314961,0.07974147740202997,0.3849327785991817,0.46467425600121165,0.9163922691481746,0.559581415476612,0.51279608310176,0.523121387283237,0.0,0.5968503937007874,0.07372900641755042,0.5968503937007874,0.523121387283237,0.8764698705141306,0.0,0.0,1.0,0.0,0.9966777408637874,0.0033222591362126463,0.9966777408637874,1.0,0.9966777408637874,0.0,0.0,0.9116022099447514,1.0,0.7634730538922155,0.14812915605253585,0.23652694610778446,0.08839779005524862,0.8375068045726728,0.7634730538922155,0.9116022099447514
5,baseline,"dro",(None),0.01,0.8311817279046674,0.6588594704684317,0.9951550387596899,0.49523921080259564,0.9969135802469136,0.5087976539589443,0.9956140350877193,0.001299545159194282,0.4881159262879693,0.486816381128775,0.9986964314811797,0.5103728788938017,0.5110390533155916,0.49691358024691357,0.0,0.4824561403508772,0.014457439896036373,0.49691358024691357,0.4824561403508772,0.9709055246812685,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.9939024390243902,1.0,0.9915966386554622,0.0023058003689280238,0.0060975609756097615,0.008403361344537785,0.9976800536165387,0.9939024390243902,0.9915966386554622
5,baseline,"dro",(None),0.1,0.8321747765640516,0.659877800407332,0.9961240310077519,0.493031578906733,0.9969135802469136,0.5102639296187683,0.9970760233918129,0.00016244314489932687,0.48664965062814525,0.4868120937730446,0.9998370804822417,0.5118436941067521,0.5117603047789406,0.49691358024691357,0.001466275659824047,0.48099415204678364,0.015919428200129926,0.4954473045870895,0.4795278763869596,0.9679633867276889,0.0029507659241179577,0.003048427207658505,1.0,0.0029850746268656717,1.0,0.0,0.9970149253731343,0.9970149253731343,1.0,0.0029850746268656717,0.0029850746268656717,0.9939024390243902,1.0,0.9943977591036415,0.000495320079251238,0.0060975609756097615,0.0056022408963585235,0.999501889385091,0.9939024390243902,0.9943977591036415
5,baseline,"dro",(None),0.5,0.9185700099304865,0.8411405295315683,0.9922480620155039,0.21618137221072142,0.9953703703703703,0.7712609970674487,0.9926900584795322,0.002680311890838172,0.2241093733029217,0.22142906141208352,0.9973072215422277,0.7748482575189252,0.7769403858529232,0.49537037037037035,0.2653958944281525,0.4853801169590643,0.00999025341130605,0.22997447594221787,0.21998422253091182,0.9798327594687654,0.5357524597801957,0.5467794933399286,0.996875,0.5373134328358209,1.0,0.0031250000000000444,0.45956156716417906,0.4626865671641791,0.996875,0.5389978009638329,0.5373134328358209,0.9939024390243902,0.9971181556195965,0.9859943977591037,0.007908041265286547,0.0032157165952062527,0.0111237578604928,0.9920434431441288,0.9967749894261949,0.988844092550315
5,baseline,"dro",(None),1.0,0.8242303872889771,0.725050916496945,0.9186046511627907,0.2766864895849782,0.7962962962962963,0.7111436950146628,0.9634502923976608,0.1671539961013645,0.08515260128163349,0.252306597382998,0.8265048052604957,0.8930641751346928,0.7381218321548245,0.4660493827160494,0.20821114369501467,0.5146198830409356,0.048570500324886245,0.25783823902103475,0.30640873934592094,0.905618686868687,0.4467576858091705,0.40459210877099444,0.765625,0.417910447761194,1.0,0.234375,0.347714552238806,0.582089552238806,0.765625,0.5458422174840085,0.417910447761194,0.8262195121951219,0.9942363112391931,0.9299719887955182,0.10375247660039633,0.16801679904407119,0.06426432244367486,0.88843483690861,0.8310091905266879,0.9353631307595502
6,baseline,"dro",(None),0.01,0.8500496524329693,0.6965376782077393,0.9961240310077519,0.4872957498679473,0.5484848484848485,0.9985835694050992,0.9953703703703703,0.003213199034728831,0.4500987209202507,0.4468855218855219,0.9967822432361438,0.5492628411777347,0.5510359408033827,0.010606060606060607,0.5042492917847026,0.5015432098765432,0.0027060819081593523,0.49364323117864195,0.4909371492704826,0.994633444305729,0.02103336738168199,0.021146853146853148,0.022950819672131147,1.0,1.0,0.0,0.9770491803278688,0.9770491803278688,1.0,0.022950819672131147,0.022950819672131147,1.0,0.9971509971509972,0.99079754601227,0.006353451138727206,0.002849002849002802,0.009202453987730008,0.9936283961437335,0.9971509971509972,0.99079754601227
6,baseline,"dro",(None),0.1,0.8565044687189672,0.7107942973523421,0.9951550387596899,0.46466664059246193,0.5696969696969697,0.9971671388101983,0.9953703703703703,0.0017967684398279005,0.42747016911322855,0.42567340067340065,0.9981981271043772,0.5713154269972452,0.5723467230443975,0.031818181818181815,0.5056657223796034,0.5015432098765432,0.004122512503060172,0.4738475405614216,0.4697250280583614,0.9918473562264413,0.06292335115864527,0.06344055944055943,0.06885245901639345,1.0,1.0,0.0,0.9311475409836065,0.9311475409836065,1.0,0.06885245901639345,0.06885245901639345,1.0,0.9943019943019943,0.99079754601227,0.0035044482897242935,0.005698005698005715,0.009202453987730008,0.9964754689120537,0.9943019943019943,0.99079754601227
3,baseline,"dro",(None),0.01,0.8356504468718967,0.6670061099796334,0.9961240310077519,0.4846814327269304,0.5045454545454545,1.0,0.9940476190476191,0.005952380952380931,0.4954545454545455,0.48950216450216455,0.9940476190476191,0.5045454545454545,0.5075666848121938,0.0015151515151515152,0.48240469208211145,0.4895833333333333,0.007178641251221862,0.4808895405669599,0.4880681818181818,0.9853372434017597,0.0031408308004052684,0.003094777562862669,0.003048780487804878,1.0,1.0,0.0,0.9969512195121951,0.9969512195121951,1.0,0.003048780487804878,0.003048780487804878,1.0,1.0,0.9884726224783862,0.011527377521613813,0.0,0.011527377521613813,0.9884726224783862,1.0,0.9884726224783862
6,baseline,"dro",(None),0.5,0.8723932472691162,0.7433808553971487,0.9951550387596899,0.4106710662684468,0.6196969696969697,0.9957507082152974,0.9953703703703703,0.0003803378449270811,0.3760537385183277,0.3756734006734006,0.9996180390917233,0.6223414802362172,0.6225792811839324,0.08181818181818182,0.5070821529745042,0.4984567901234568,0.008625362851047425,0.4252639711563224,0.416638608305275,0.9829902062211188,0.16135093956323007,0.1641429777652688,0.17704918032786884,1.0,0.9968944099378882,0.0031055900621117516,0.8229508196721311,0.8198452296100194,0.9968944099378882,0.17704918032786884,0.17760073540677185,1.0,0.9914529914529915,0.9938650306748467,0.002412039221855178,0.008547008547008517,0.006134969325153339,0.9975730716471457,0.9914529914529915,0.9938650306748467
3,baseline,"dro",(None),0.1,0.8361469712015889,0.6690427698574338,0.9951550387596899,0.48184703715521027,0.5075757575757576,1.0,0.9925595238095238,0.007440476190476164,0.49242424242424243,0.48498376623376627,0.9925595238095238,0.5075757575757576,0.5113806732997137,0.004545454545454545,0.48240469208211145,0.49107142857142855,0.008666736489317095,0.47785923753665693,0.48652597402597403,0.9823513729672089,0.009422492401215805,0.009256198347107438,0.009146341463414634,1.0,1.0,0.0,0.9908536585365854,0.9908536585365854,1.0,0.009146341463414634,0.009146341463414634,1.0,1.0,0.9855907780979827,0.014409221902017322,0.0,0.014409221902017322,0.9855907780979827,1.0,0.9855907780979827
