seed,data,method,wandb_url,Accuracy,TPR,TNR,Renyi preds and s,Accuracy_colour_2.0,Accuracy_colour_1.0,Accuracy_colour_0.0,Accuracy_colour_0.0-colour_1.0,Accuracy_colour_0.0-colour_2.0,Accuracy_colour_1.0-colour_2.0,Accuracy_colour_0.0÷colour_1.0,Accuracy_colour_0.0÷colour_2.0,Accuracy_colour_1.0÷colour_2.0,prob_pos_colour_2.0,prob_pos_colour_1.0,prob_pos_colour_0.0,prob_pos_colour_0.0-colour_1.0,prob_pos_colour_0.0-colour_2.0,prob_pos_colour_1.0-colour_2.0,prob_pos_colour_0.0÷colour_1.0,prob_pos_colour_0.0÷colour_2.0,prob_pos_colour_1.0÷colour_2.0,TPR_colour_2.0,TPR_colour_1.0,TPR_colour_0.0,TPR_colour_0.0-colour_1.0,TPR_colour_0.0-colour_2.0,TPR_colour_1.0-colour_2.0,TPR_colour_0.0÷colour_1.0,TPR_colour_0.0÷colour_2.0,TPR_colour_1.0÷colour_2.0,TNR_colour_2.0,TNR_colour_1.0,TNR_colour_0.0,TNR_colour_0.0-colour_1.0,TNR_colour_0.0-colour_2.0,TNR_colour_1.0-colour_2.0,TNR_colour_0.0÷colour_1.0,TNR_colour_0.0÷colour_2.0,TNR_colour_1.0÷colour_2.0
13,baseline,"cnn",(None),0.6890982503364738,0.785132382892057,0.6814070351758794,0.7455125074406741,0.9980506822612085,0.7065989847715736,0.3413111342351717,0.6567395480260368,0.29145169748963495,0.3652878505364019,0.34197775754422477,0.7079790609137055,0.4830337172724772,0.3079922027290448,0.1299492385786802,1.0,0.6920077972709552,0.1780429641503646,0.8700507614213198,0.3079922027290448,0.42192379361305665,0.1299492385786802,0.9968354430379747,0.378698224852071,1.0,0.0031645569620253333,0.6181372181859037,0.6213017751479291,0.9968354430379747,0.37990044143890295,0.378698224852071,0.9985915492957746,1.0,0.0,0.9985915492957746,0.0014084507042253502,1.0,0.0,0.9985915492957746,0.0
14,baseline,"cnn",(None),0.607671601615074,0.6965376782077393,0.6889447236180904,0.8228059246951326,0.48732394366197185,0.9979296066252588,0.3432518597236982,0.6546777469015606,0.5106056629632869,0.14407208393827364,0.3439640005115067,0.48833498918824153,0.7043607526122131,0.03286384976525822,0.33954451345755693,0.9989373007438895,0.6593927872863325,0.30668066369229874,0.9660734509786313,0.33990573102506494,0.0967880453452422,0.032898811307561684,0.10510510510510511,1.0,1.0,0.0,0.8948948948948949,0.8948948948948949,1.0,0.10510510510510511,0.10510510510510511,1.0,0.9984350547730829,0.0016155088852988692,0.9968195458877841,0.0015649452269170805,0.9983844911147012,0.001618041030887112,0.9984350547730829,0.0016155088852988692
15,baseline,"cnn",(None),0.5706594885598923,0.6680244399185336,0.6743718592964824,0.8339795247114599,0.34146341463414637,0.3748753738783649,0.9989847715736041,0.6575213569394578,0.6241093976952392,0.033411959244218525,0.341810430299425,0.37525634478677783,0.9108718214841723,0.9695121951219512,0.011964107676969093,0.3431472081218274,0.6263649870001238,0.3311831004448583,0.9575480874449821,0.353938000830061,0.034865816750930645,0.012340337478131643,1.0,0.03560830860534125,0.9970501474926253,0.002949852507374673,0.9614418388872841,0.9643916913946587,0.9970501474926253,0.03571365863080084,0.03560830860534125,0.04424778761061947,1.0,1.0,0.9557522123893806,0.0,0.9557522123893806,0.04424778761061947,1.0,0.04424778761061947
16,baseline,"cnn",(None),0.6668909825033648,0.7423625254582484,0.6909547738693468,0.735609027832523,0.9979695431472081,0.3526927138331573,0.6394230769230769,0.6452768293140507,0.3585464662241312,0.28673036308991956,0.35341029819497455,0.6407240394397057,0.5515795825360656,0.3218274111675127,0.9672650475184794,0.10673076923076923,0.6454376363509667,0.21509664193674344,0.8605342782877102,0.33271895019174075,0.33163977190002425,0.11034283674840444,1.0,1.0,0.30494505494505497,0.0,0.695054945054945,0.695054945054945,1.0,0.30494505494505497,0.30494505494505497,0.9970149253731343,0.04813664596273292,1.0,0.9488782794104014,0.0029850746268657025,0.9518633540372671,0.048280767657232125,0.9970149253731343,0.04813664596273292
17,baseline,"cnn",(None),0.5572005383580081,0.6680244399185336,0.671859296482412,0.8530987672119777,0.351593625498008,0.3644230769230769,0.9956896551724138,0.6440960296744058,0.631266578249337,0.012829451425068916,0.35311567582483916,0.366000666000666,0.9647951728705233,0.9731075697211156,0.015384615384615385,0.34051724137931033,0.6325903283418053,0.32513262599469495,0.9577229543365002,0.3499276462076024,0.04518013631937683,0.015809778757578143,1.0,0.047058823529411764,0.9936708860759493,0.006329113924050667,0.9466120625465375,0.9529411764705882,0.9936708860759493,0.047358561258898466,0.047058823529411764,0.03982300884955752,1.0,0.9967320261437909,0.9569090172942334,0.0032679738562091387,0.9601769911504425,0.03995357609168722,0.9967320261437909,0.03982300884955752
18,baseline,"cnn",(None),0.5995962314939435,0.6496945010183299,0.7316582914572864,0.8300190079755837,0.3912639405204461,0.9967707212055974,0.4498448810754912,0.5469258401301063,0.6055067806851513,0.05858094055504509,0.45130226189970984,0.3925315342802316,0.869775242490279,0.01486988847583643,0.34230355220667386,0.8665977249224406,0.5242941727157667,0.32743366373083743,0.8517278364466041,0.3949970584532859,0.04344064903789951,0.01715892858727187,0.04456824512534819,0.9968454258675079,1.0,0.003154574132492094,0.9522771807421597,0.9554317548746518,0.9968454258675079,0.04470928387574486,0.04456824512534819,1.0,0.9967320261437909,0.1951588502269289,0.801573175916862,0.0032679738562091387,0.8048411497730711,0.19579871530964013,0.9967320261437909,0.1951588502269289
19,baseline,"cnn",(None),0.6302153432032301,0.7107942973523421,0.714070351758794,0.7754139138025765,0.9990412272291467,0.4121900826446281,0.449531737773153,0.5868511445845186,0.5495094894559938,0.03734165512852489,0.41258565853968054,0.449963150189442,0.9169321051423324,0.34707574304889743,0.9008264462809917,0.03433922996878252,0.5537507032320943,0.3127365130801149,0.8664872163122093,0.38528591659556505,0.09893872060066344,0.038119695653419126,0.9972451790633609,1.0,0.10443037974683544,0.0027548209366391463,0.8928147993165254,0.8955696202531646,0.9972451790633609,0.10471886145884328,0.10443037974683544,1.0,0.1443609022556391,1.0,0.8556390977443609,0.0,0.8556390977443609,0.1443609022556391,1.0,0.1443609022556391
20,baseline,"cnn",(None),0.6157469717362046,0.725050916496945,0.6864321608040201,0.8142130198804178,0.99609375,0.36168032786885246,0.47016460905349794,0.6344134221311475,0.5259291409465021,0.10848428118464548,0.36309868209578916,0.47200839183409987,0.7692631918786096,0.3095703125,1.0,0.044238683127572016,0.6904296875,0.265331629372428,0.9557613168724279,0.3095703125,0.14290350638054808,0.044238683127572016,0.9937106918238994,1.0,0.1382636655948553,0.0062893081761006275,0.8554470262290441,0.8617363344051447,0.9937106918238994,0.139138752085962,0.1382636655948553,0.9985835694050992,0.0,1.0,0.9985835694050992,0.0014164305949008194,1.0,0.0,0.9985835694050992,0.0
21,baseline,"cnn",(None),0.5534993270524899,0.6476578411405295,0.6592964824120603,0.8508253950366274,0.31722054380664655,0.3319587628865979,0.9990089197224975,0.681788375915851,0.6670501568358995,0.014738219079951376,0.31753524672708966,0.3322880870561283,0.9556022592933142,1.0,0.009278350515463918,0.30921704658077304,0.6907829534192269,0.2999386960653091,0.9907216494845361,0.30921704658077304,0.030005947660586837,0.009278350515463918,1.0,0.02535211267605634,1.0,0.0,0.9746478873239437,0.9746478873239437,1.0,0.02535211267605634,0.02535211267605634,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
22,baseline,"cnn",(None),0.7627860026917901,0.890020366598778,0.7251256281407035,0.5824790244168033,0.4462474645030426,0.8404907975460123,0.9970238095238095,0.550776345020767,0.15653301197779723,0.3942433330429697,0.4475795464866338,0.842999725299881,0.5309367643357368,0.8813387423935092,0.22085889570552147,0.3333333333333333,0.5480054090601758,0.11247443762781184,0.6604798466879878,0.37821250479478324,0.6625766871165645,0.2505947884529852,1.0,0.6687306501547987,0.9970149253731343,0.0029850746268657025,0.3282842752183356,0.3312693498452013,0.9970149253731343,0.6707328377301125,0.6687306501547987,0.17673716012084592,1.0,0.9970282317979198,0.8202910716770738,0.002971768202080227,0.823262839879154,0.17726394748335217,0.9970282317979198,0.17673716012084592
