seed,data,method,wandb_url,Accuracy,TPR,TNR,Renyi preds and s,Accuracy_colour_2.0,Accuracy_colour_1.0,Accuracy_colour_0.0,Accuracy_colour_0.0-colour_1.0,Accuracy_colour_0.0-colour_2.0,Accuracy_colour_1.0-colour_2.0,Accuracy_colour_0.0÷colour_1.0,Accuracy_colour_0.0÷colour_2.0,Accuracy_colour_1.0÷colour_2.0,prob_pos_colour_2.0,prob_pos_colour_1.0,prob_pos_colour_0.0,prob_pos_colour_0.0-colour_1.0,prob_pos_colour_0.0-colour_2.0,prob_pos_colour_1.0-colour_2.0,prob_pos_colour_0.0÷colour_1.0,prob_pos_colour_0.0÷colour_2.0,prob_pos_colour_1.0÷colour_2.0,TPR_colour_2.0,TPR_colour_1.0,TPR_colour_0.0,TPR_colour_0.0-colour_1.0,TPR_colour_0.0-colour_2.0,TPR_colour_1.0-colour_2.0,TPR_colour_0.0÷colour_1.0,TPR_colour_0.0÷colour_2.0,TPR_colour_1.0÷colour_2.0,TNR_colour_2.0,TNR_colour_1.0,TNR_colour_0.0,TNR_colour_0.0-colour_1.0,TNR_colour_0.0-colour_2.0,TNR_colour_1.0-colour_2.0,TNR_colour_0.0÷colour_1.0,TNR_colour_0.0÷colour_2.0,TNR_colour_1.0÷colour_2.0,eta
5,baseline,"dro",(None),0.5969044414535666,0.664969450101833,0.6974874371859296,0.829640709430126,0.386734693877551,0.9980544747081712,0.38278008298755184,0.6113197808306202,0.6152743917206194,0.003954610889999155,0.3874885626765326,0.3835262429933755,0.9897743570654376,0.9469387755102041,0.31712062256809337,0.001037344398340249,0.6298181529421107,0.3160832781697531,0.9459014311118639,0.3348903126257882,0.003271135096606675,0.0010954714551437974,1.0,0.9969325153374233,0.00303951367781155,0.0030674846625766694,0.9938930016596118,0.9969604863221885,0.9969325153374233,0.003048866027589432,0.00303951367781155,0.07963246554364471,0.9985754985754985,1.0,0.9189430330318539,0.0014245014245014564,0.9203675344563553,0.07974606392530469,0.9985754985754985,0.07963246554364471,0.01
5,baseline,"dro",(None),0.7234185733512786,0.8319755600814664,0.6964824120603015,0.6765219941595375,0.3846938775510204,0.9970817120622568,0.7759336099585062,0.6123878345112364,0.22114810210375058,0.39123973240748583,0.38581981085116973,0.7782046351583848,0.49578194914329365,0.9489795918367347,0.316147859922179,0.17219917012448133,0.6328317319145558,0.14394868979769765,0.7767804217122534,0.3331450566921886,0.544679221193744,0.181457190023647,1.0,0.9938650306748467,0.5045592705167173,0.006134969325153339,0.4893057601581293,0.49544072948328266,0.9938650306748467,0.5076738339149687,0.5045592705167173,0.07656967840735068,0.9985754985754985,1.0,0.9220058201681478,0.0014245014245014564,0.9234303215926494,0.07667890762048528,0.9985754985754985,0.07656967840735068,0.3
5,baseline,"dro",(None),0.6019515477792732,0.664969450101833,0.7261306532663316,0.8307113058641654,0.4448979591836735,0.9970817120622568,0.34024896265560167,0.5521837528785833,0.6568327494066551,0.1046489965280718,0.44620009955201595,0.3412448132780083,0.7647797784460771,0.8887755102040816,0.316147859922179,0.002074688796680498,0.5726276502819027,0.3140731711254985,0.8867008214074011,0.35571171380451827,0.006562400255346314,0.0023343226415004454,1.0,0.9938650306748467,0.0060790273556231,0.006134969325153339,0.9877860033192236,0.993920972644377,0.9938650306748467,0.006116552215842995,0.0060790273556231,0.1669218989280245,0.9985754985754985,1.0,0.8316535996474741,0.0014245014245014564,0.8330781010719754,0.16716001861265792,0.9985754985754985,0.1669218989280245,0.1
5,baseline,"dro",(None),0.65814266487214,0.6639511201629328,0.821608040201005,0.8008086030493106,0.639795918367347,0.9970817120622568,0.3153526970954357,0.35728579369490987,0.6817290149668211,0.3244432212719113,0.6416684917869587,0.31627568059912964,0.49289576260530615,0.6938775510204082,0.31809338521400776,0.0,0.3757841658064004,0.31809338521400776,0.6938775510204082,0.45842870222018767,0.0,0.0,1.0,0.9969325153374233,0.0,0.0030674846625766694,0.9969325153374233,1.0,0.9969325153374233,0.0,0.0,0.45941807044410415,0.9971509971509972,1.0,0.5377329267068931,0.002849002849002802,0.5405819295558958,0.46073069350251583,0.9971509971509972,0.45941807044410415,1.0
6,baseline,"dro",(None),0.5575370121130552,0.6517311608961304,0.6673366834170854,0.8530594707016752,0.9950248756218906,0.3275686673448627,0.3404471544715447,0.6674562082770279,0.6545777211503458,0.012878487126682048,0.32920651068158696,0.34214939024390245,0.9621718467681937,0.3144278606965174,0.9969481180061037,0.006097560975609756,0.6825202573095863,0.30833029972090764,0.990850557030494,0.3153903949639557,0.019392559431923435,0.006116226978596317,0.9905660377358491,1.0,0.017391304347826087,0.009433962264150941,0.973174733388023,0.9826086956521739,0.9905660377358491,0.01755693581780538,0.017391304347826087,0.9985443959243085,0.004518072289156626,1.0,0.994026323635152,0.0014556040756914523,0.9954819277108434,0.0045246584003653095,0.9985443959243085,0.004518072289156626,0.01
6,baseline,"dro",(None),0.5757065948855989,0.6456211812627292,0.6869346733668342,0.8387159330695493,0.9940298507462687,0.3662258392675483,0.35772357723577236,0.6278040114787204,0.6363062735104963,0.008502262031775953,0.36842539385774375,0.35987206718914033,0.9767841011743451,0.31144278606965176,0.9582909460834181,0.0020325203252032522,0.6468481600137663,0.3094102657444485,0.9562584257582148,0.3249981514930655,0.006526143536195746,0.002120984585642035,0.9842767295597484,1.0,0.005797101449275362,0.01572327044025157,0.9784796281104731,0.9942028985507246,0.9842767295597484,0.00588970690373663,0.005797101449275362,1.0,0.061746987951807226,1.0,0.9382530120481928,0.0,0.9382530120481928,0.061746987951807226,1.0,0.061746987951807226,0.3
6,baseline,"dro",(None),0.5831090174966352,0.6456211812627292,0.6864321608040201,0.833216162550312,0.9930348258706467,0.3672431332655137,0.3800813008130081,0.625791692605133,0.6129535250576386,0.012838167547494395,0.3698189869056526,0.3827472017205142,0.9662225752226351,0.3154228855721393,0.9562563580874873,0.0010162601626016261,0.640833472515348,0.3144066254095377,0.9552400979248857,0.32985180480575843,0.0032218973609294452,0.0010627486594014877,0.9874213836477987,1.0,0.002898550724637681,0.012578616352201255,0.9845228329231611,0.9971014492753624,0.9874213836477987,0.0029354749376903906,0.002898550724637681,0.9956331877729258,0.06475903614457831,1.0,0.9308741516283474,0.004366812227074246,0.9352409638554217,0.06504306700486155,0.9956331877729258,0.06475903614457831,0.1
6,baseline,"dro",(None),0.5454239569313594,0.6476578411405295,0.6623115577889447,0.8584901025438968,0.9860696517412936,0.32451678535096645,0.3160569105691057,0.6615528663903272,0.6700127411721879,0.008459874781860777,0.329101280804966,0.320521892151313,0.9739308560797205,0.3174129353233831,1.0,0.006097560975609756,0.6825870646766169,0.31131537434777334,0.9939024390243902,0.3174129353233831,0.01921018426485205,0.006097560975609756,0.9811320754716981,1.0,0.014492753623188406,0.018867924528301883,0.9666393218485098,0.9855072463768116,0.9811320754716981,0.014771460423634336,0.014492753623188406,0.9898107714701602,0.0,0.9984350547730829,0.9898107714701602,0.008624283302922753,0.9984350547730829,0.0,0.9913621990116495,0.0,1.0
7,baseline,"dro",(None),0.6914535666218035,0.7494908350305499,0.7698492462311558,0.6904204137465315,0.5355691056910569,0.997907949790795,0.5562015503875969,0.46233884409973813,0.4417063994031981,0.02063244469654002,0.5366918920761534,0.5573675913737344,0.9629047335769524,0.7876016260162602,0.34205020920502094,0.08914728682170543,0.4455514168112392,0.2529029223833155,0.6984543391945547,0.4342934269132137,0.2606263186591755,0.11318829707426857,1.0,0.9969418960244648,0.27299703264094954,0.003058103975535187,0.7239448633835153,0.7270029673590505,0.9969418960244648,0.2738344468515046,0.27299703264094954,0.3138138138138138,0.9984101748807631,1.0,0.6845963610669493,0.0015898251192368873,0.6861861861861862,0.31431351733899504,0.9984101748807631,0.3138138138138138,0.01
7,baseline,"dro",(None),0.6187752355316285,0.6558044806517311,0.7256281407035176,0.8071472910408055,0.44613821138211385,0.9968619246861925,0.4331395348837209,0.5507237133040787,0.5637223898024716,0.012998676498392925,0.4475426338733482,0.4345030381414871,0.9708640144090691,0.8770325203252033,0.34205020920502094,0.0,0.5349823111201824,0.34205020920502094,0.8770325203252033,0.39000858152693,0.0,0.0,1.0,0.9969418960244648,0.0,0.003058103975535187,0.9969418960244648,1.0,0.9969418960244648,0.0,0.0,0.1816816816816817,0.9984101748807631,1.0,0.8167284931990815,0.0015898251192368873,0.8183183183183182,0.18197098372257609,0.9984101748807631,0.1816816816816817,0.3
