bias.missing_s,bias.mixing_factor,bias.adult_biased_train,bias.subsample_context.0,bias.subsample_context.1,bias.subsample_context.2,bias.subsample_context.3,bias.subsample_train.0,bias.subsample_train.1,bias.subsample_train.2,bias.subsample_train.3,bias.log_dataset,baselines.greyscale,baselines.labelled_context_set,baselines.epochs,baselines.test_batch_size,baselines.batch_size,baselines.lr,baselines.weight_decay,baselines.eta,baselines.c,baselines.method,baselines.oversample,data.log_name,data.data_pcnt,data.context_pcnt,data.test_pcnt,data.root,data.transductive,data.quant_level,data.input_noise,data.scale,data.greyscale,data.background,data.black,data.binarize,data.rotate_data,data.shift_data,data.color_correlation,data.padding,data.filter_map_labels.2,data.filter_map_labels.4,data.colors,misc.cluster_label_file,misc.exp_group,misc.log_method,misc.use_wandb,misc.gpu,misc.use_amp,misc.seed,misc.data_split_seed,misc.save_dir,misc.results_csv,misc.resume,misc.evaluate,misc.num_workers,misc.device,misc.use_gpu,Accuracy (lff),TPR (lff),TNR (lff),Renyi preds and s (lff),Accuracy_colour_0.0 (lff),Accuracy_colour_1.0 (lff),Accuracy_colour_0.0-colour_1.0 (lff),Accuracy_colour_0.0÷colour_1.0 (lff),prob_pos_colour_0.0 (lff),prob_pos_colour_1.0 (lff),prob_pos_colour_0.0-colour_1.0 (lff),prob_pos_colour_0.0÷colour_1.0 (lff),TPR_colour_0.0 (lff),TPR_colour_1.0 (lff),TPR_colour_0.0-colour_1.0 (lff),TPR_colour_0.0÷colour_1.0 (lff),TNR_colour_0.0 (lff),TNR_colour_1.0 (lff),TNR_colour_0.0-colour_1.0 (lff),TNR_colour_0.0÷colour_1.0 (lff)
[0],0.0,True,0.7,0.4,0.2,1.0,0.0,0.75,0.0,1.0,subsampled_miss_s,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,lff,baseline_lff,True,0,False,20,20,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data/,,,False,4,cuda:0,True,0.7562065541211519,0.5010183299389002,0.999031007751938,0.5738641961691826,0.5172413793103449,0.998998998998999,0.4817576196886542,0.5177596572455255,0.0,0.4934934934934935,0.4934934934934935,0.0,0.0,1.0,1.0,0.0,1.0,0.9980276134122288,0.001972386587771213,0.9980276134122288
[0],0.0,True,0.7,0.4,0.2,1.0,0.0,0.75,0.0,1.0,subsampled_miss_s,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,lff,baseline_lff,True,0,False,21,21,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data/,,,False,4,cuda:0,True,0.766137040714995,0.5203665987780041,1.0,0.5825050356071827,0.5318091451292246,1.0,0.4681908548707754,0.5318091451292246,0.0,0.5069444444444444,0.5069444444444444,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
[0],0.0,True,0.7,0.4,0.2,1.0,0.0,0.75,0.0,1.0,subsampled_miss_s,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,lff,baseline_lff,True,0,False,22,22,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data/,,,False,4,cuda:0,True,0.7626613704071501,0.5142566191446029,0.999031007751938,0.5611372787777199,0.5107692307692308,0.9990375360923964,0.4882683053231658,0.5112613013191047,0.0,0.4870067372473532,0.4870067372473532,0.0,0.0,1.0,1.0,0.0,1.0,0.99812734082397,0.0018726591760299671,0.99812734082397
[0],0.0,True,0.7,0.4,0.2,1.0,0.0,0.75,0.0,1.0,subsampled_miss_s,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,lff,baseline_lff,True,0,False,23,23,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data/,,,False,4,cuda:0,True,0.7626613704071501,0.5132382892057027,1.0,0.5737303403077366,0.522,1.0,0.478,0.522,0.0,0.4970414201183432,0.4970414201183432,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
[0],0.0,True,0.7,0.4,0.2,1.0,0.0,0.75,0.0,1.0,subsampled_miss_s,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,lff,baseline_lff,True,0,False,24,24,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data/,,,False,4,cuda:0,True,0.7571996027805362,0.5020366598778004,1.0,0.5670661731108807,0.5124626121635095,1.0,0.4875373878364905,0.5124626121635095,0.0,0.4876360039564787,0.4876360039564787,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
[0],0.0,True,0.7,0.4,0.2,1.0,0.0,0.75,0.0,1.0,subsampled_miss_s,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,lff,baseline_lff,True,0,False,25,25,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data/,,,False,4,cuda:0,True,0.7487586891757696,0.4857433808553971,0.999031007751938,0.55896020908466,0.4995044598612488,0.9990049751243779,0.4995005152631294,0.500001974263501,0.0,0.4756218905472637,0.4756218905472637,0.0,0.0,1.0,1.0,0.0,1.0,0.9981060606060606,0.001893939393939448,0.9981060606060606
[0],0.0,True,0.7,0.4,0.2,1.0,0.0,0.75,0.0,1.0,subsampled_miss_s,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,lff,baseline_lff,True,0,False,26,26,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data/,,,False,4,cuda:0,True,0.7581926514399205,0.505091649694501,0.999031007751938,0.5528211842415902,0.5,0.9990403071017274,0.4990403071017274,0.5004803073967339,0.0,0.4769673704414588,0.4769673704414588,0.0,0.0,1.0,1.0,0.0,1.0,0.9981684981684982,0.001831501831501825,0.9981684981684982
[0],0.0,True,0.7,0.4,0.2,1.0,0.0,0.75,0.0,1.0,subsampled_miss_s,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,lff,baseline_lff,True,0,False,27,27,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data/,,,False,4,cuda:0,True,0.7492552135054618,0.4867617107942974,0.999031007751938,0.5715242072682989,0.5106796116504855,0.9989837398373984,0.4883041281869129,0.5111991229543008,0.0,0.4867886178861789,0.4867886178861789,0.0,0.0,1.0,1.0,0.0,1.0,0.9980237154150198,0.0019762845849802253,0.9980237154150198
[0],0.0,True,0.7,0.4,0.2,1.0,0.0,0.75,0.0,1.0,subsampled_miss_s,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,lff,baseline_lff,True,0,False,28,28,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data/,,,False,4,cuda:0,True,0.7591857000993049,0.5061099796334012,1.0,0.560010064016197,0.5086294416243655,0.999028182701652,0.4903987410772866,0.5091242173457899,0.0,0.4829931972789116,0.4829931972789116,0.0,0.0,0.997991967871486,0.997991967871486,0.0,1.0,1.0,0.0,1.0
[0],0.0,True,0.7,0.4,0.2,1.0,0.0,0.75,0.0,1.0,subsampled_miss_s,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",,lff,baseline_lff,True,0,False,29,29,results/cmnist/2v4/mildly_subs_miss_s-0.5cont-more_data/,,,False,4,cuda:0,True,0.7557100297914597,0.5,0.999031007751938,0.5607082915965241,0.5055387713997986,0.9990205680705191,0.49348179667072045,0.506034397646269,0.0,0.48188050930460335,0.48188050930460335,0.0,0.0,1.0,1.0,0.0,1.0,0.9981132075471698,0.0018867924528301883,0.9981132075471698
