seed,data,method,wandb_url,Accuracy,TPR,TNR,Renyi preds and s,Accuracy_colour_1.0,Accuracy_colour_0.0,Accuracy_colour_0.0-colour_1.0,Accuracy_colour_0.0÷colour_1.0,prob_pos_colour_1.0,prob_pos_colour_0.0,prob_pos_colour_0.0-colour_1.0,prob_pos_colour_0.0÷colour_1.0,TPR_colour_1.0,TPR_colour_0.0,TPR_colour_0.0-colour_1.0,TPR_colour_0.0÷colour_1.0,TNR_colour_1.0,TNR_colour_0.0,TNR_colour_0.0-colour_1.0,TNR_colour_0.0÷colour_1.0,eta
5,baseline,"dro",(None),0.7636544190665343,0.5173116089613035,0.998062015503876,0.5794350664359427,0.5269461077844312,0.9980237154150198,0.4710776076305886,0.5279895654236083,0.0,0.5039525691699605,0.5039525691699605,0.0,0.0,1.0,1.0,0.0,1.0,0.996031746031746,0.003968253968253954,0.996031746031746,0.1
5,baseline,"dro",(None),0.7264150943396226,0.5173116089613035,0.9253875968992248,0.6366568602669226,0.5269461077844312,0.9239130434782609,0.3969669356938297,0.5703416696019725,0.0,0.5780632411067194,0.5780632411067194,0.0,0.0,1.0,1.0,0.0,1.0,0.8472222222222222,0.1527777777777778,0.8472222222222222,0.3
5,baseline,"dro",(None),0.5124131082423039,0.0,1.0,1.0,0.5269461077844312,0.4980237154150198,0.02892239236941141,0.9451131872080488,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1.0,1.0,0.0,1.0,1.0
6,baseline,"dro",(None),0.7696127110228401,0.5295315682281059,0.998062015503876,0.5891497919434732,0.53938185443669,0.9980217606330366,0.45863990619634665,0.5404509958726398,0.0,0.516320474777448,0.516320474777448,0.0,0.0,1.0,1.0,0.0,1.0,0.9959266802443992,0.004073319755600768,0.9959266802443992,0.01
6,baseline,"dro",(None),0.7696127110228401,0.5295315682281059,0.998062015503876,0.5891497919434732,0.53938185443669,0.9980217606330366,0.45863990619634665,0.5404509958726398,0.0,0.516320474777448,0.516320474777448,0.0,0.0,1.0,1.0,0.0,1.0,0.9959266802443992,0.004073319755600768,0.9959266802443992,0.1
6,baseline,"dro",(None),0.7701092353525323,0.5305498981670062,0.998062015503876,0.5876466938530612,0.5403788634097707,0.9980217606330366,0.4576428972232659,0.5414499810775799,0.0009970089730807576,0.516320474777448,0.5153234658043673,0.0019309886432656055,0.0021645021645021645,1.0,0.9978354978354979,0.0021645021645021645,1.0,0.9959266802443992,0.004073319755600768,0.9959266802443992,0.3
6,baseline,"dro",(None),0.717974180734856,0.5295315682281059,0.8972868217054264,0.6689094358008437,0.53938185443669,0.8951533135509396,0.3557714591142497,0.6025580716414294,0.0,0.619188921859545,0.619188921859545,0.0,0.0,1.0,1.0,0.0,1.0,0.7841140529531568,0.21588594704684316,0.7841140529531568,1.0
7,baseline,"dro",(None),0.7562065541211519,0.5061099796334012,0.9941860465116279,0.5752517252856835,0.994059405940594,0.5169322709163346,0.4771271350242594,0.5200215075951176,0.498019801980198,0.0,0.498019801980198,0.0,1.0,0.0,1.0,0.0,0.9883040935672515,1.0,0.011695906432748537,0.9883040935672515,0.01
7,baseline,"dro",(None),0.7567030784508441,0.5071283095723014,0.9941860465116279,0.573721301125037,0.994059405940594,0.5179282868525896,0.47613111908800443,0.5210234758178441,0.498019801980198,0.00099601593625498,0.49702378604394304,0.001999952476376799,1.0,0.002061855670103093,0.9979381443298969,0.002061855670103093,0.9883040935672515,1.0,0.011695906432748537,0.9883040935672515,0.1
7,baseline,"dro",(None),0.7576961271102284,0.5071283095723014,0.9961240310077519,0.5721939069711759,0.996039603960396,0.5179282868525896,0.4781113171078064,0.5199876438579677,0.49603960396039604,0.00099601593625498,0.49504358802414106,0.002007936318597864,1.0,0.002061855670103093,0.9979381443298969,0.002061855670103093,0.9922027290448343,1.0,0.007797270955165692,0.9922027290448343,0.3
