seed,data,method,wandb_url,Accuracy,TPR,TNR,Renyi preds and s,Accuracy_colour_1.0,Accuracy_colour_0.0,Accuracy_colour_0.0-colour_1.0,Accuracy_colour_0.0÷colour_1.0,prob_pos_colour_1.0,prob_pos_colour_0.0,prob_pos_colour_0.0-colour_1.0,prob_pos_colour_0.0÷colour_1.0,TPR_colour_1.0,TPR_colour_0.0,TPR_colour_0.0-colour_1.0,TPR_colour_0.0÷colour_1.0,TNR_colour_1.0,TNR_colour_0.0,TNR_colour_0.0-colour_1.0,TNR_colour_0.0÷colour_1.0
16,baseline,"cnn",(None),0.7423038728897716,0.47657841140529533,0.9951550387596899,0.5623398527430223,0.9939516129032258,0.4980430528375734,0.49590856006565237,0.5010737407858751,0.47681451612903225,0.0,0.47681451612903225,0.0,0.997867803837953,0.0,0.997867803837953,0.0,0.9904397705544933,1.0,0.009560229445506718,0.9904397705544933
17,baseline,"cnn",(None),0.7413108242303873,0.4775967413441955,0.9922480620155039,0.5665713854372089,0.9919191919191919,0.4990234375,0.49289575441919187,0.5030888015529532,0.4818181818181818,0.0,0.4818181818181818,0.0,1.0,0.0,1.0,0.0,0.9846449136276392,1.0,0.015355086372360827,0.9846449136276392
18,baseline,"cnn",(None),0.7477656405163853,0.48574338085539714,0.997093023255814,0.5632833528458129,0.996,0.5029585798816568,0.4930414201183432,0.5049784938570852,0.48,0.0,0.48,0.0,0.997907949790795,0.0,0.997907949790795,0.0,0.9942528735632183,1.0,0.005747126436781658,0.9942528735632183
19,baseline,"cnn",(None),0.753227408142999,0.4969450101832994,0.997093023255814,0.5740305605018674,0.5147347740667977,0.9969879518072289,0.4822531777404312,0.5162898640186612,0.0,0.4929718875502008,0.4929718875502008,0.0,0.0,1.0,1.0,0.0,1.0,0.9940944881889764,0.0059055118110236116,0.9940944881889764
20,baseline,"cnn",(None),0.7512413108242304,0.48981670061099797,1.0,0.5640536816412016,1.0,0.5059171597633136,0.49408284023668636,0.5059171597633136,0.481,0.0,0.481,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
21,baseline,"cnn",(None),0.7497517378351539,0.4908350305498982,0.9961240310077519,0.562851600375137,0.5024875621890548,0.9960356788899901,0.49354811670093535,0.5044875126853297,0.0,0.48166501486620417,0.48166501486620417,0.0,0.0,1.0,1.0,0.0,1.0,0.9924098671726755,0.007590132827324458,0.9924098671726755
22,baseline,"cnn",(None),0.7651439920556107,0.5213849287169042,0.997093023255814,0.5678025415768002,0.9971126082771896,0.517948717948718,0.4791638903284716,0.5194485694485695,0.4956689124157844,0.0,0.4956689124157844,0.0,1.0,0.0,1.0,0.0,0.9943074003795066,1.0,0.005692599620493399,0.9943074003795066
23,baseline,"cnn",(None),0.7497517378351539,0.4938900203665988,0.9932170542635659,0.5651809840191587,0.5044955044955045,0.9921026653504442,0.4876071608549397,0.5085113891084041,0.0,0.4856860809476802,0.4856860809476802,0.0,0.0,0.9979423868312757,0.9979423868312757,0.0,1.0,0.9867172675521821,0.013282732447817858,0.9867172675521821
24,baseline,"cnn",(None),0.7442899702085403,0.4786150712830957,0.997093023255814,0.5523767882204715,0.4900398406374502,0.997029702970297,0.5069898623328468,0.49149974085781994,0.0,0.46831683168316834,0.46831683168316834,0.0,0.0,1.0,1.0,0.0,1.0,0.9944444444444445,0.005555555555555536,0.9944444444444445
25,baseline,"cnn",(None),0.7581926514399205,0.5071283095723014,0.997093023255814,0.5771560193372549,0.5207920792079208,0.9970119521912351,0.47621987298331425,0.5223528946301224,0.0,0.499003984063745,0.499003984063745,0.0,0.0,1.0,1.0,0.0,1.0,0.9940711462450593,0.005928853754940677,0.9940711462450593
26,baseline,"cnn",(None),0.7621648460774578,0.5142566191446029,0.998062015503876,0.5596478172430447,0.9980824544582934,0.5087538619979403,0.4893285924603531,0.5097312949700785,0.48609779482262705,0.0,0.48609779482262705,0.0,1.0,0.0,1.0,0.0,0.9962825278810409,1.0,0.0037174721189591198,0.9962825278810409
27,baseline,"cnn",(None),0.7323733862959285,0.45519348268839105,0.9961240310077519,0.5501249671720504,0.9959308240081384,0.481086323957323,0.5148445000508154,0.4830519473442783,0.4587995930824008,0.0,0.4587995930824008,0.0,1.0,0.0,1.0,0.0,0.9925373134328358,1.0,0.007462686567164201,0.9925373134328358
28,baseline,"cnn",(None),0.7701092353525323,0.5295315682281059,0.999031007751938,0.5773881875415298,0.5304878048780488,0.9990291262135922,0.4685413213355434,0.531003342103392,0.0,0.5058252427184466,0.5058252427184466,0.0,0.0,1.0,1.0,0.0,1.0,0.9980392156862745,0.0019607843137254832,0.9980392156862745
29,baseline,"cnn",(None),0.7557100297914597,0.4989816700610998,1.0,0.5586450367958091,0.9990215264187867,0.5050403225806451,0.4939812038381416,0.505534975198256,0.4794520547945205,0.0,0.4794520547945205,0.0,0.9979633401221996,0.0,0.9979633401221996,0.0,1.0,1.0,0.0,1.0
30,baseline,"cnn",(None),0.7581926514399205,0.5101832993890021,0.9941860465116279,0.5725767087885953,0.5180360721442886,0.9940944881889764,0.4760584160446878,0.5211135141570269,0.001002004008016032,0.49803149606299213,0.4970294920549761,0.002011928996332586,0.002074688796680498,1.0,0.9979253112033195,0.002074688796680498,1.0,0.9883720930232558,0.011627906976744207,0.9883720930232558
