seed,data,method,wandb_url,Accuracy,TPR,TNR,Renyi preds and s,Accuracy_colour_1.0,Accuracy_colour_0.0,Accuracy_colour_0.0-colour_1.0,Accuracy_colour_0.0÷colour_1.0,prob_pos_colour_1.0,prob_pos_colour_0.0,prob_pos_colour_0.0-colour_1.0,prob_pos_colour_0.0÷colour_1.0,TPR_colour_1.0,TPR_colour_0.0,TPR_colour_0.0-colour_1.0,TPR_colour_0.0÷colour_1.0,TNR_colour_1.0,TNR_colour_0.0,TNR_colour_0.0-colour_1.0,TNR_colour_0.0÷colour_1.0,eta
3,baseline,"dro",(None),0.7517378351539226,0.9938900203665988,0.5213178294573644,0.580734796991489,0.4896694214876033,0.994263862332696,0.5045944408450928,0.49249443738080095,0.9979338842975206,0.4818355640535373,0.5160983202439833,0.4828331532130684,1.0,0.9882352941176471,0.0117647058823529,0.9882352941176471,0.004032258064516129,1.0,0.9959677419354839,0.004032258064516129,0.3
3,baseline,"dro",(None),0.5665342601787487,0.6160896130346232,0.5193798449612403,0.876019080633384,0.48760330578512395,0.6395793499043977,0.15197604411927373,0.7623812523934823,1.0,0.12715105162523901,0.872848948374761,0.12715105162523901,1.0,0.2607843137254902,0.7392156862745098,0.2607843137254902,0.0,1.0,1.0,0.0,1.0
4,baseline,"dro",(None),0.7487586891757696,0.48676171079429736,0.998062015503876,0.56039344262241,0.998001998001998,0.5024679170779862,0.49553408092401174,0.5034738588539182,0.4785214785214785,0.0009871668311944718,0.47753431169028404,0.002062951979176756,1.0,0.0019801980198019802,0.998019801980198,0.0019801980198019802,0.9961832061068703,1.0,0.003816793893129722,0.9961832061068703,0.01
4,baseline,"dro",(None),0.7790466732869911,0.5539714867617108,0.9932170542635659,0.45029305281317056,0.999000999000999,0.5616979269496545,0.43730307205134455,0.5622596248766041,0.4755244755244755,0.07403751233958539,0.40148696318489013,0.15569653330236338,0.9979035639412998,0.13465346534653466,0.8632500985947651,0.13493635077793495,1.0,0.9862204724409449,0.013779527559055094,0.9862204724409449,0.1
4,baseline,"dro",(None),0.7462760675273088,0.9969450101832994,0.5077519379844961,0.5988768249462951,0.997002997002997,0.49851924975320827,0.4984837472497887,0.5000178046121858,0.47352647352647353,1.0,0.5264735264735265,0.47352647352647353,0.9937106918238994,1.0,0.0062893081761006275,0.9937106918238994,1.0,0.0,1.0,0.0,0.3
4,baseline,"dro",(None),0.6946375372393248,0.8920570264765784,0.5067829457364341,0.6779350998939367,0.8931068931068931,0.49851924975320827,0.3945876433536848,0.5581854239406728,0.37162837162837165,1.0,0.6283716283716283,0.37162837162837165,0.7777777777777778,1.0,0.2222222222222222,0.7777777777777778,0.9980916030534351,0.0,0.9980916030534351,0.0,1.0
5,baseline,"dro",(None),0.7671300893743793,0.5234215885947047,0.999031007751938,0.5673046410160892,0.5339321357285429,0.9980237154150198,0.46409157968647685,0.5349894270864212,0.006986027944111776,0.5019762845849802,0.49499025664086843,0.013917047794175429,0.014767932489451477,0.9980314960629921,0.9832635635735406,0.014797060561422782,1.0,0.998015873015873,0.001984126984126977,0.998015873015873,0.01
5,baseline,"dro",(None),0.8048659384309831,0.604887983706721,0.9951550387596899,0.44971890818552546,0.6097804391217565,0.9980237154150198,0.3882432762932633,0.6109879251398194,0.09081836327345309,0.5019762845849802,0.4111579213115271,0.18092162132428058,0.18354430379746836,0.9980314960629921,0.8144871922655238,0.18390632412054028,0.9924242424242424,0.998015873015873,0.005591630591630592,0.994397252846557,0.1
5,baseline,"dro",(None),0.7457795431976166,0.9969450101832994,0.5067829457364341,0.5418741454941427,0.49101796407185627,0.9980237154150198,0.5070057513431635,0.49199027687199853,0.9780439121756487,0.5019762845849802,0.47606762759066845,0.5132451399532145,0.9957805907172996,0.9980314960629921,0.0022509053456925,0.9977446549987933,0.03787878787878788,0.998015873015873,0.9601370851370852,0.0379540936200976,0.3
5,baseline,"dro",(None),0.6837140019860973,0.8890020366598778,0.4883720930232558,0.658195295974093,0.47305389221556887,0.892292490118577,0.41923859790300816,0.5301556355727084,1.0,0.3942687747035573,0.6057312252964426,0.3942687747035573,1.0,0.7854330708661418,0.21456692913385822,0.7854330708661418,0.0,1.0,1.0,0.0,1.0
