data.log_name,data.data_pcnt,data.context_pcnt,data.test_pcnt,data.root,data.transductive,data.quant_level,data.input_noise,data.scale,data.greyscale,data.background,data.black,data.binarize,data.rotate_data,data.shift_data,data.color_correlation,data.padding,data.filter_map_labels.2,data.filter_map_labels.4,data.colors,bias.missing_s,bias.mixing_factor,bias.adult_biased_train,bias.subsample_context.0,bias.subsample_context.1,bias.subsample_context.2,bias.subsample_context.3,bias.subsample_train.0,bias.subsample_train.1,bias.subsample_train.2,bias.subsample_train.3,bias.log_dataset,misc.cluster_label_file,misc.exp_group,misc.log_method,misc.use_wandb,misc.gpu,misc.use_amp,misc.seed,misc.data_split_seed,misc.save_dir,misc.results_csv,misc.resume,misc.evaluate,misc.num_workers,misc.device,misc.use_gpu,baselines.greyscale,baselines.labelled_context_set,baselines.epochs,baselines.test_batch_size,baselines.batch_size,baselines.lr,baselines.weight_decay,baselines.eta,baselines.method,baselines.pred_s,baselines.oversample,Accuracy (cnn),TPR (cnn),TNR (cnn),Renyi preds and s (cnn),Accuracy_colour_0.0 (cnn),Accuracy_colour_1.0 (cnn),Accuracy_colour_0.0-colour_1.0 (cnn),Accuracy_colour_0.0÷colour_1.0 (cnn),prob_pos_colour_0.0 (cnn),prob_pos_colour_1.0 (cnn),prob_pos_colour_0.0-colour_1.0 (cnn),prob_pos_colour_0.0÷colour_1.0 (cnn),TPR_colour_0.0 (cnn),TPR_colour_1.0 (cnn),TPR_colour_0.0-colour_1.0 (cnn),TPR_colour_0.0÷colour_1.0 (cnn),TNR_colour_0.0 (cnn),TNR_colour_1.0 (cnn),TNR_colour_0.0-colour_1.0 (cnn),TNR_colour_0.0÷colour_1.0 (cnn)
cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,,,,True,0,False,20,20,results/cmnist/2_digits/baselines,more-data.csv,,False,4,cuda:0,True,False,False,60,1000,256,0.001,1e-08,0.5,cnn,False,True,0.7562065541211519,0.5010183299389002,0.999031007751938,0.5738641961691826,0.5172413793103449,0.998998998998999,0.4817576196886541,0.5177596572455255,0.0,0.4934934934934935,0.4934934934934935,0.0,0.0,1.0,1.0,0.0,1.0,0.9980276134122288,0.0019723865877712,0.9980276134122288
cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,,,,True,0,False,21,21,results/cmnist/2_digits/baselines,more-data.csv,,False,4,cuda:0,True,False,False,60,1000,256,0.001,1e-08,0.5,cnn,False,True,0.766137040714995,0.5203665987780041,1.0,0.5825050356071827,0.5318091451292246,1.0,0.4681908548707754,0.5318091451292246,0.0,0.5069444444444444,0.5069444444444444,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,,,,True,0,False,22,22,results/cmnist/2_digits/baselines,more-data.csv,,False,4,cuda:0,True,False,False,60,1000,256,0.001,1e-08,0.5,cnn,False,True,0.76266137040715,0.5142566191446029,0.999031007751938,0.5611372787777199,0.5107692307692308,0.9990375360923964,0.4882683053231658,0.5112613013191047,0.0,0.4870067372473532,0.4870067372473532,0.0,0.0,1.0,1.0,0.0,1.0,0.99812734082397,0.0018726591760299,0.99812734082397
cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,,,,True,0,False,23,23,results/cmnist/2_digits/baselines,more-data.csv,,False,4,cuda:0,True,False,False,60,1000,256,0.001,1e-08,0.5,cnn,False,True,0.76266137040715,0.5132382892057027,1.0,0.5737303403077366,0.522,1.0,0.478,0.522,0.0,0.4970414201183432,0.4970414201183432,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,,,,True,0,False,24,24,results/cmnist/2_digits/baselines,more-data.csv,,False,4,cuda:0,True,False,False,60,1000,256,0.001,1e-08,0.5,cnn,False,True,0.7567030784508441,0.5020366598778004,0.999031007751938,0.5678276928989529,0.5124626121635095,0.9990108803165184,0.4865482681530088,0.5129700008884239,0.0,0.4886251236399604,0.4886251236399604,0.0,0.0,1.0,1.0,0.0,1.0,0.998069498069498,0.0019305019305019,0.998069498069498
cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,,,,True,0,False,25,25,results/cmnist/2_digits/baselines,more-data.csv,,False,4,cuda:0,True,False,False,60,1000,256,0.001,1e-08,0.5,cnn,False,True,0.6911618669314796,0.5030549898167006,0.8701550387596899,0.3529080793215519,0.3845391476709613,0.999004975124378,0.6144658274534167,0.3849221547901555,0.1486620416253716,0.4756218905472636,0.326959848921892,0.3125634975596204,0.0336633663366336,1.0,0.9663366336633664,0.0336633663366336,0.7361111111111112,0.9981060606060606,0.2619949494949494,0.7375079063883618
cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,,,,True,0,False,26,26,results/cmnist/2_digits/baselines,more-data.csv,,False,4,cuda:0,True,False,False,60,1000,256,0.001,1e-08,0.5,cnn,False,True,0.7586891757696127,0.505091649694501,1.0,0.5520828107171177,0.5,1.0,0.5,0.5,0.0,0.4760076775431862,0.4760076775431862,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,,,,True,0,False,27,27,results/cmnist/2_digits/baselines,more-data.csv,,False,4,cuda:0,True,False,False,60,1000,256,0.001,1e-08,0.5,cnn,False,True,0.6807348560079444,0.5468431771894093,0.8081395348837209,0.2473778920630635,0.3766990291262136,0.9989837398373984,0.6222847107111849,0.3770822427875831,0.2485436893203883,0.4867886178861789,0.2382449285657905,0.5105782678314449,0.117063492063492,1.0,0.8829365079365079,0.117063492063492,0.6254752851711026,0.9980237154150198,0.3725484302439171,0.6267138500922335
cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,,,,True,0,False,28,28,results/cmnist/2_digits/baselines,more-data.csv,,False,4,cuda:0,True,False,False,60,1000,256,0.001,1e-08,0.5,cnn,False,True,0.7482621648460774,0.5183299389002036,0.9670542635658916,0.4914705371007719,0.4862944162436548,0.999028182701652,0.5127337664579972,0.4867674652866934,0.0467005076142131,0.4829931972789115,0.4362926896646983,0.0966897833702724,0.024793388429752,0.997991967871486,0.9731985794417338,0.024843274523172,0.9321357285429142,1.0,0.0678642714570858,0.9321357285429142
cmnist,1.0,0.5,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,"[2, 4]",[0],0.0,True,0.7,0.6,0.4,1.0,0.0,0.85,0.0,1.0,mildly_subs_miss_s,,,,True,0,False,29,29,results/cmnist/2_digits/baselines,more-data.csv,,False,4,cuda:0,True,False,False,60,1000,256,0.001,1e-08,0.5,cnn,False,True,0.7557100297914597,0.5,0.999031007751938,0.5607082915965241,0.5055387713997986,0.9990205680705191,0.49348179667072045,0.506034397646269,0.0,0.48188050930460335,0.48188050930460335,0.0,0.0,1.0,1.0,0.0,1.0,0.9981132075471698,0.0018867924528301883,0.9981132075471698
