seed,data,method,wandb_url,eta,Accuracy,TPR,TNR,Renyi preds and s,Accuracy_colour_1.0,Accuracy_colour_0.0,Accuracy_colour_0.0-colour_1.0,Accuracy_colour_0.0/colour_1.0,prob_pos_colour_1.0,prob_pos_colour_0.0,prob_pos_colour_0.0-colour_1.0,prob_pos_colour_0.0/colour_1.0,TPR_colour_1.0,TPR_colour_0.0,TPR_colour_0.0-colour_1.0,TPR_colour_0.0/colour_1.0,TNR_colour_1.0,TNR_colour_0.0,TNR_colour_0.0-colour_1.0,TNR_colour_0.0/colour_1.0
5,baseline,"dro",(None),0.01,0.7557100297914597,0.4989816700610998,1.0,0.578970240518058,0.5260617760617761,0.9989775051124744,0.47291572905069834,0.5266002220966397,0.0019305019305019305,0.49897750511247446,0.49704700318197254,0.0038689157541616555,0.004056795131845842,0.9979550102249489,0.993898215093103,0.004065108236624215,1.0,1.0,0.0,1.0
6,baseline,"dro",(None),0.5,0.7606752730883813,0.5101832993890021,0.999031007751938,0.5710766190015462,0.9990157480314961,0.5180360721442886,0.48097967588720747,0.5185464525109332,0.4940944881889764,0.0,0.4940944881889764,0.0,1.0,0.0,1.0,0.0,0.9980582524271845,1.0,0.001941747572815511,0.9980582524271845
7,baseline,"dro",(None),0.01,0.7557100297914597,0.5010183299389002,0.998062015503876,0.5603988763237638,0.9980314960629921,0.5090180360721442,0.4890134599908479,0.5100220164194266,0.484251968503937,0.002004008016032064,0.4822479604879049,0.004138358016846701,1.0,0.0040650406504065045,0.9959349593495935,0.0040650406504065045,0.9961977186311787,1.0,0.0038022813688213253,0.9961977186311787
4,baseline,"dro",(None),0.5,0.6673286991062563,0.47352342158859473,0.8517441860465116,0.6880176915309925,0.5062082139446036,0.8417786970010341,0.33557048305643056,0.6013554580889824,0.0019102196752626551,0.6370217166494312,0.6351114969741686,0.0029986727694464085,0.0038535645472061657,1.0,0.9961464354527938,0.0038535645472061657,1.0,0.6964285714285714,0.3035714285714286,0.6964285714285714
5,baseline,"dro",(None),0.1,0.7552135054617676,0.4979633401221996,1.0,0.5804970043225197,0.525096525096525,0.9989775051124744,0.47388098001594936,0.5256339831570128,0.0009652509652509653,0.49897750511247446,0.4980122541472235,0.0019344578770808278,0.002028397565922921,0.9979550102249489,0.995926612659026,0.0020325541183121073,1.0,1.0,0.0,1.0
6,baseline,"dro",(None),1.0,0.5367428003972194,0.04989816700610998,1.0,0.1528846204095131,0.5078740157480315,0.5661322645290581,0.05825824878102659,0.8970942791443105,0.000984251968503937,0.04809619238476954,0.0471119404162656,0.020464238845144356,0.001996007984031936,0.0997920997920998,0.09779609180806786,0.02000166333998669,1.0,1.0,0.0,1.0
7,baseline,"dro",(None),0.1,0.7571996027805362,0.5040733197556008,0.998062015503876,0.5534676696657486,0.9970472440944882,0.5130260521042084,0.4840211919902798,0.5145453790107362,0.48326771653543305,0.006012024048096192,0.47725569248733685,0.01244035933373876,0.9979591836734694,0.012195121951219513,0.9857640617222498,0.012220060850915258,0.9961977186311787,1.0,0.0038022813688213253,0.9961977186311787
4,baseline,"dro",(None),1.0,0.47765640516385305,0.5845213849287169,0.375968992248062,0.7769137109333025,0.47659980897803245,0.4788004136504654,0.0022006046724329376,0.9954039206949403,0.23973256924546324,1.0,0.7602674307545367,0.23973256924546324,0.2138728323699422,1.0,0.7861271676300579,0.2138728323699422,0.7348484848484849,0.0,0.7348484848484849,0.0
8,baseline,"dro",(None),0.01,0.7482621648460774,0.48370672097759676,1.0,0.5511593989827516,1.0,0.4924924924924925,0.5075075075075075,0.4924924924924925,0.46798029556650245,0.0,0.46798029556650245,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
5,baseline,"dro",(None),0.5,0.7547169811320755,0.4969450101832994,1.0,0.5820269499287223,0.5241312741312741,0.9989775051124744,0.47484623098120027,0.524667744217386,0.0,0.49897750511247446,0.49897750511247446,0.0,0.0,0.9979550102249489,0.9979550102249489,0.0,1.0,1.0,0.0,1.0
