bias.missing_s,bias.mixing_factor,bias.adult_biased_train,bias.subsample_train.1,bias.subsample_train.2,bias.subsample_train.5,bias.subsample_train.7,bias.log_dataset,baselines.greyscale,baselines.labelled_context_set,baselines.epochs,baselines.test_batch_size,baselines.batch_size,baselines.lr,baselines.weight_decay,baselines.eta,baselines.c,baselines.method,baselines.oversample,data.log_name,data.data_pcnt,data.context_pcnt,data.test_pcnt,data.root,data.transductive,data.quant_level,data.input_noise,data.scale,data.greyscale,data.background,data.black,data.binarize,data.rotate_data,data.shift_data,data.color_correlation,data.padding,data.filter_map_labels.2,data.filter_map_labels.4,data.filter_map_labels.6,data.colors,misc.cluster_label_file,misc.exp_group,misc.log_method,misc.use_wandb,misc.gpu,misc.use_amp,misc.seed,misc.data_split_seed,misc.save_dir,misc.results_csv,misc.resume,misc.evaluate,misc.num_workers,misc.device,misc.use_gpu,Accuracy (lff),TPR (lff),TNR (lff),Renyi preds and s (lff),Accuracy_colour_2.0 (lff),Accuracy_colour_1.0 (lff),Accuracy_colour_0.0 (lff),Accuracy_colour_0.0-colour_1.0 (lff),Accuracy_colour_0.0-colour_2.0 (lff),Accuracy_colour_1.0-colour_2.0 (lff),Accuracy_colour_0.0÷colour_1.0 (lff),Accuracy_colour_0.0÷colour_2.0 (lff),Accuracy_colour_1.0÷colour_2.0 (lff),prob_pos_colour_2.0 (lff),prob_pos_colour_1.0 (lff),prob_pos_colour_0.0 (lff),prob_pos_colour_0.0-colour_1.0 (lff),prob_pos_colour_0.0-colour_2.0 (lff),prob_pos_colour_1.0-colour_2.0 (lff),prob_pos_colour_0.0÷colour_1.0 (lff),prob_pos_colour_0.0÷colour_2.0 (lff),prob_pos_colour_1.0÷colour_2.0 (lff),TPR_colour_2.0 (lff),TPR_colour_1.0 (lff),TPR_colour_0.0 (lff),TPR_colour_0.0-colour_1.0 (lff),TPR_colour_0.0-colour_2.0 (lff),TPR_colour_1.0-colour_2.0 (lff),TPR_colour_0.0÷colour_1.0 (lff),TPR_colour_0.0÷colour_2.0 (lff),TPR_colour_1.0÷colour_2.0 (lff),TNR_colour_2.0 (lff),TNR_colour_1.0 (lff),TNR_colour_0.0 (lff),TNR_colour_0.0-colour_1.0 (lff),TNR_colour_0.0-colour_2.0 (lff),TNR_colour_1.0-colour_2.0 (lff),TNR_colour_0.0÷colour_1.0 (lff),TNR_colour_0.0÷colour_2.0 (lff),TNR_colour_1.0÷colour_2.0 (lff)
[],0.0,True,0.0,0.0,0.0,0.0,3dig_4miss,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,cmnist,1.0,0.4,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,2,"[2, 4, 6]",,,baseline_lff,True,0,False,10,10,results/cmnist/3_digits/4miss/,,,False,4,cuda:0,True,0.5464333781965006,0.6690427698574338,0.6648241206030151,0.8437025977124949,0.3213213213213213,0.3179959100204499,0.9969849246231156,0.6789890146026657,0.6756636033017943,0.003325411300871384,0.3189575911999472,0.32229305918822043,0.9896508227739236,0.026026026026026026,1.0,0.32160804020100503,0.6783919597989949,0.295582014174979,0.9739739739739741,0.32160804020100503,0.08092467467467468,0.026026026026026026,0.07428571428571429,1.0,0.9968847352024922,0.0031152647975077885,0.922599020916778,0.9257142857142856,0.9968847352024922,0.07451785714285715,0.07428571428571429,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
[],0.0,True,0.0,0.0,0.0,0.0,3dig_4miss,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,cmnist,1.0,0.4,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,2,"[2, 4, 6]",,,baseline_lff,True,0,False,11,11,results/cmnist/3_digits/4miss/,,,False,4,cuda:0,True,0.550471063257066,0.6466395112016293,0.6804020100502512,0.8515525342779651,0.2965235173824131,0.3340292275574113,0.9903474903474904,0.6563182627900791,0.6938239729650773,0.03750571017499815,0.3372848730501736,0.2994136101444249,0.8877172801635993,0.0,0.9895615866388308,0.31177606177606176,0.6777855248627691,0.31177606177606176,0.9895615866388308,0.31506483879901603,0.0,0.0,0.0,1.0,0.972809667673716,0.027190332326283984,0.972809667673716,1.0,0.972809667673716,0.0,0.0,1.0,0.015503875968992246,0.998581560283688,0.9830776843146956,0.0014184397163120588,0.9844961240310076,0.015525898520084569,0.998581560283688,0.015503875968992246
[],0.0,True,0.0,0.0,0.0,0.0,3dig_4miss,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,cmnist,1.0,0.4,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,2,"[2, 4, 6]",,,baseline_lff,True,0,False,12,12,results/cmnist/3_digits/4miss/,,,False,4,cuda:0,True,0.6207940780619112,0.6446028513238289,0.6557788944723618,0.8419717505689969,0.5691382765531062,0.3166833166833167,0.9866392600205552,0.6699559433372384,0.4175009834674488,0.25245495986978955,0.32097173659673656,0.5768453573814295,0.5564259683977993,0.0,0.996003996003996,0.3299075025693731,0.666096493434623,0.3299075025693731,0.996003996003996,0.3312311033820887,0.0,0.0,0.0,1.0,0.9755351681957186,0.024464831804281384,0.9755351681957186,1.0,0.9755351681957186,0.0,0.0,1.0,0.005822416302765648,0.9969040247678018,0.991081608465036,0.003095975232198178,0.9941775836972344,0.005840498340972995,0.9969040247678018,0.005822416302765648
[],0.0,True,0.0,0.0,0.0,0.0,3dig_4miss,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,cmnist,1.0,0.4,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,2,"[2, 4, 6]",,,baseline_lff,True,0,False,13,13,results/cmnist/3_digits/4miss/,,,False,4,cuda:0,True,0.585464333781965,0.664969450101833,0.6809045226130653,0.8421018826267821,0.39593908629441626,0.3413111342351717,0.9961013645224172,0.6547902302872455,0.600162278228001,0.05462795205924459,0.3426469899464639,0.3974887500372515,0.8620294031324207,0.01015228426395939,1.0,0.30896686159844056,0.6910331384015594,0.2988145773344812,0.9898477157360406,0.30896686159844056,0.03285881279123765,0.01015228426395939,0.02958579881656805,1.0,0.9968354430379748,0.003164556962025333,0.9672496442214066,0.970414201183432,0.9968354430379748,0.029679721987414295,0.02958579881656805,1.0,0.0,0.9971830985915492,0.9971830985915492,0.0028169014084507005,1.0,0.0,0.9971830985915492,0.0
[],0.0,True,0.0,0.0,0.0,0.0,3dig_4miss,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,cmnist,1.0,0.4,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,2,"[2, 4, 6]",,,baseline_lff,True,0,False,14,14,results/cmnist/3_digits/4miss/,,,False,4,cuda:0,True,0.5551816958277255,0.6608961303462322,0.6884422110552764,0.8735138306963706,0.3417840375586855,0.3421891604675877,0.9979296066252588,0.655740446157671,0.6561455690665733,0.00040512290890221125,0.3428990964851553,0.34249313307229273,0.9988160849152888,0.0,1.0,0.3395445134575569,0.660455486542443,0.3395445134575569,1.0,0.3395445134575569,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.9984350547730828,0.9984350547730828,0.0015649452269170805,1.0,0.0,0.9984350547730828,0.0
[],0.0,True,0.0,0.0,0.0,0.0,3dig_4miss,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,cmnist,1.0,0.4,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,2,"[2, 4, 6]",,,baseline_lff,True,0,False,15,15,results/cmnist/3_digits/4miss/,,,False,4,cuda:0,True,0.5632570659488559,0.6578411405295316,0.6959798994974874,0.8528267372924271,0.31106679960119643,0.3861788617886179,0.9969543147208122,0.6107754529321943,0.6858875151196158,0.07511206218742145,0.3873586342788071,0.3120171055062917,0.8054992915988877,0.001994017946161516,0.9247967479674796,0.34416243654822337,0.5806343114192563,0.3421684186020619,0.9228027300213182,0.3721492720477492,0.0057938279556610395,0.0021561688560691548,0.005934718100890208,1.0,0.9970501474926252,0.002949852507374673,0.9911154293917352,0.9940652818991098,0.9970501474926252,0.005952276438466807,0.005934718100890208,1.0,0.10914454277286137,0.9984520123839008,0.8893074696110396,0.001547987616099089,0.8908554572271387,0.10931375911824563,0.9984520123839008,0.10914454277286137
[],0.0,True,0.0,0.0,0.0,0.0,3dig_4miss,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,cmnist,1.0,0.4,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,2,"[2, 4, 6]",,,baseline_lff,True,0,False,16,16,results/cmnist/3_digits/4miss/,,,False,4,cuda:0,True,0.5407133243606999,0.6293279022403259,0.6763819095477387,0.8669976357985798,0.30673076923076925,0.3199577613516367,1.0,0.6800422386483633,0.6932692307692307,0.013226992120867477,0.3199577613516367,0.30673076923076925,0.9586601929423711,0.0,1.0,0.3197969543147208,0.6802030456852792,0.3197969543147208,1.0,0.3197969543147208,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
[],0.0,True,0.0,0.0,0.0,0.0,3dig_4miss,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,cmnist,1.0,0.4,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,2,"[2, 4, 6]",,,baseline_lff,True,0,False,17,17,results/cmnist/3_digits/4miss/,,,False,4,cuda:0,True,0.6598250336473755,0.9623217922606924,0.6402010050251257,0.634630053200822,0.6990384615384615,0.3247011952191235,0.9784482758620692,0.6537470806429455,0.27940981432360745,0.374337266319338,0.3318532039243905,0.7144357844798374,0.4644968954991588,0.3384615384615385,1.0,0.3286637931034483,0.6713362068965517,0.009797745358090193,0.6615384615384615,0.3286637931034483,0.9710521159874608,0.3384615384615385,0.9352941176470588,1.0,0.9525316455696202,0.047468354430379785,0.01723752792256139,0.06470588235294117,0.9525316455696202,0.981903459058042,0.9352941176470588,0.9514285714285714,0.0,0.9934640522875816,0.9934640522875816,0.04203548085901032,0.9514285714285714,0.0,0.957687969924812,0.0
[],0.0,True,0.0,0.0,0.0,0.0,3dig_4miss,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,cmnist,1.0,0.4,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,2,"[2, 4, 6]",,,baseline_lff,True,0,False,18,18,results/cmnist/3_digits/4miss/,,,False,4,cuda:0,True,0.5383580080753702,0.6334012219959266,0.6668341708542713,0.8793208926817518,0.3420074349442379,0.3164426059979317,0.9967707212055974,0.6803281152076657,0.6547632862613595,0.025564828946306184,0.3174677980260028,0.3431154503922214,0.9252506631896048,0.0,1.0,0.34230355220667386,0.6576964477933261,0.34230355220667386,1.0,0.34230355220667386,0.0,0.0,0.0,1.0,0.996845425867508,0.003154574132492094,0.996845425867508,1.0,0.996845425867508,0.0,0.0,1.0,0.0,0.9967320261437908,0.9967320261437908,0.003267973856209139,1.0,0.0,0.9967320261437908,0.0
[],0.0,True,0.0,0.0,0.0,0.0,3dig_4miss,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,cmnist,1.0,0.4,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,2,"[2, 4, 6]",,,baseline_lff,True,0,False,19,19,results/cmnist/3_digits/4miss/,,,False,4,cuda:0,True,0.5625841184387618,0.6771894093686355,0.6728643216080402,0.8501366758083864,0.3267429760665973,0.3285123966942149,0.99712368168744,0.6686112849932251,0.6703807056208427,0.0017694206276175906,0.3294600286077559,0.32768550388217405,0.9946138390958056,0.0,0.9834710743801652,0.348993288590604,0.6344777857895614,0.348993288590604,0.9834710743801652,0.35485872201229485,0.0,0.0,0.0,1.0,0.9972451790633609,0.0027548209366391463,0.9972451790633609,1.0,0.9972451790633609,0.0,0.0,1.0,0.02406015037593985,0.9970588235294118,0.9729986731534721,0.002941176470588225,0.9759398496240601,0.024131124270854128,0.9970588235294118,0.02406015037593985
[],0.0,True,0.0,0.0,0.0,0.0,3dig_4miss,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,cmnist,1.0,0.4,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,2,"[2, 4, 6]",,,baseline_lff,True,0,False,20,20,results/cmnist/3_digits/4miss/,,,False,4,cuda:0,True,0.5703230148048453,0.6822810590631364,0.6859296482412061,0.8642772816758046,0.3302469135802469,0.3616803278688525,0.9970703125,0.6353899846311475,0.6668233989197531,0.03143341428860552,0.3627430516529921,0.33121727669556605,0.9130906165844788,0.0,1.0,0.3115234375,0.6884765625,0.3115234375,1.0,0.3115234375,0.0,0.0,0.0,1.0,0.9968553459119496,0.0031446540880503138,0.9968553459119496,1.0,0.9968553459119496,0.0,0.0,1.0,0.0,0.9971671388101984,0.9971671388101984,0.0028328611898017497,1.0,0.0,0.9971671388101984,0.0
[],0.0,True,0.0,0.0,0.0,0.0,3dig_4miss,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,cmnist,1.0,0.4,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,2,"[2, 4, 6]",,,baseline_lff,True,0,False,21,21,results/cmnist/3_digits/4miss/,,,False,4,cuda:0,True,0.5417227456258412,0.6384928716904277,0.6592964824120603,0.8639539442455602,0.2948453608247423,0.3172205438066465,1.0,0.6827794561933535,0.7051546391752577,0.022375182981904274,0.3172205438066465,0.2948453608247423,0.9294648993618064,0.0,1.0,0.30921704658077304,0.6907829534192269,0.30921704658077304,1.0,0.30921704658077304,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
[],0.0,True,0.0,0.0,0.0,0.0,3dig_4miss,False,False,60,1000,64,0.001,1e-08,0.5,0.0,lff,True,cmnist,1.0,0.4,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,2,"[2, 4, 6]",,,baseline_lff,True,0,False,22,22,results/cmnist/3_digits/4miss/,,,False,4,cuda:0,True,0.5497981157469717,0.6690427698574338,0.6663316582914572,0.8629932705979841,0.3128834355828221,0.3286004056795132,0.9960317460317459,0.6674313403522328,0.683148310448924,0.015716970096691096,0.3299095706423798,0.3141299831349449,0.9521699613724154,0.0,1.0,0.3323412698412698,0.6676587301587302,0.3323412698412698,1.0,0.3323412698412698,0.0,0.0,0.0,1.0,0.9940298507462688,0.005970149253731294,0.9940298507462688,1.0,0.9940298507462688,0.0,0.0,1.0,0.0,0.9970282317979198,0.9970282317979198,0.0029717682020802267,1.0,0.0,0.9970282317979198,0.0
