bias.missing_s,bias.mixing_factor,bias.adult_biased_train,bias.subsample_train.1,bias.subsample_train.2,bias.subsample_train.5,bias.subsample_train.7,bias.log_dataset,baselines.greyscale,baselines.labelled_context_set,baselines.epochs,baselines.test_batch_size,baselines.batch_size,baselines.lr,baselines.weight_decay,baselines.eta,baselines.c,baselines.method,baselines.oversample,data.log_name,data.data_pcnt,data.context_pcnt,data.test_pcnt,data.root,data.transductive,data.quant_level,data.input_noise,data.scale,data.greyscale,data.background,data.black,data.binarize,data.rotate_data,data.shift_data,data.color_correlation,data.padding,data.filter_map_labels.2,data.filter_map_labels.4,data.filter_map_labels.6,data.colors,misc.cluster_label_file,misc.exp_group,misc.log_method,misc.use_wandb,misc.gpu,misc.use_amp,misc.seed,misc.data_split_seed,misc.save_dir,misc.results_csv,misc.resume,misc.evaluate,misc.num_workers,misc.device,misc.use_gpu,Accuracy (cnn),TPR (cnn),TNR (cnn),Renyi preds and s (cnn),Accuracy_colour_2.0 (cnn),Accuracy_colour_1.0 (cnn),Accuracy_colour_0.0 (cnn),Accuracy_colour_0.0-colour_1.0 (cnn),Accuracy_colour_0.0-colour_2.0 (cnn),Accuracy_colour_1.0-colour_2.0 (cnn),Accuracy_colour_0.0÷colour_1.0 (cnn),Accuracy_colour_0.0÷colour_2.0 (cnn),Accuracy_colour_1.0÷colour_2.0 (cnn),prob_pos_colour_2.0 (cnn),prob_pos_colour_1.0 (cnn),prob_pos_colour_0.0 (cnn),prob_pos_colour_0.0-colour_1.0 (cnn),prob_pos_colour_0.0-colour_2.0 (cnn),prob_pos_colour_1.0-colour_2.0 (cnn),prob_pos_colour_0.0÷colour_1.0 (cnn),prob_pos_colour_0.0÷colour_2.0 (cnn),prob_pos_colour_1.0÷colour_2.0 (cnn),TPR_colour_2.0 (cnn),TPR_colour_1.0 (cnn),TPR_colour_0.0 (cnn),TPR_colour_0.0-colour_1.0 (cnn),TPR_colour_0.0-colour_2.0 (cnn),TPR_colour_1.0-colour_2.0 (cnn),TPR_colour_0.0÷colour_1.0 (cnn),TPR_colour_0.0÷colour_2.0 (cnn),TPR_colour_1.0÷colour_2.0 (cnn),TNR_colour_2.0 (cnn),TNR_colour_1.0 (cnn),TNR_colour_0.0 (cnn),TNR_colour_0.0-colour_1.0 (cnn),TNR_colour_0.0-colour_2.0 (cnn),TNR_colour_1.0-colour_2.0 (cnn),TNR_colour_0.0÷colour_1.0 (cnn),TNR_colour_0.0÷colour_2.0 (cnn),TNR_colour_1.0÷colour_2.0 (cnn)
[],0.0,True,0.0,0.0,0.0,0.0,3dig_4miss,False,False,60,1000,64,0.001,1e-08,0.5,0.0,cnn,True,cmnist,1.0,0.4,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,2,"[2, 4, 6]",,,baseline_cnn,True,0,False,10,10,results/cmnist/3_digits/4miss/,,,False,4,cuda:0,True,0.5693135935397039,0.7016293279022403,0.6648241206030151,0.811184111169568,0.3883883883883884,0.3179959100204499,0.9979899497487436,0.6799940397282938,0.6096015613603553,0.0703924783679385,0.3186363851665133,0.3891706409329773,0.8187575105938903,0.05705705705705705,1.0,0.32261306532663314,0.6773869346733669,0.2655560082695761,0.9429429429429428,0.32261306532663314,0.17685910209274694,0.05705705705705705,0.16285714285714287,1.0,1.0,0.0,0.8371428571428572,0.8371428571428572,1.0,0.16285714285714287,0.16285714285714287,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
[],0.0,True,0.0,0.0,0.0,0.0,3dig_4miss,False,False,60,1000,64,0.001,1e-08,0.5,0.0,cnn,True,cmnist,1.0,0.4,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,2,"[2, 4, 6]",,,baseline_cnn,True,0,False,11,11,results/cmnist/3_digits/4miss/,,,False,4,cuda:0,True,0.6507402422611036,0.7352342158859471,0.6743718592964824,0.7738506132398708,0.6042944785276073,0.3267223382045929,0.9942084942084942,0.6674861560039014,0.3899140156808869,0.2775721403230144,0.3286255751261731,0.6078146405384477,0.5406674226126766,0.081799591002045,1.0,0.3204633204633205,0.6795366795366795,0.2386637294612755,0.9182004089979552,0.3204633204633205,0.2552541454160199,0.081799591002045,0.2366863905325444,1.0,0.9939577039274924,0.006042296072507503,0.7572713133949481,0.7633136094674556,0.9939577039274924,0.2381252135752954,0.2366863905325444,1.0,0.0,0.9957446808510638,0.9957446808510638,0.0042553191489361755,1.0,0.0,0.9957446808510638,0.0
[],0.0,True,0.0,0.0,0.0,0.0,3dig_4miss,False,False,60,1000,64,0.001,1e-08,0.5,0.0,cnn,True,cmnist,1.0,0.4,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,2,"[2, 4, 6]",,,baseline_cnn,True,0,False,12,12,results/cmnist/3_digits/4miss/,,,False,4,cuda:0,True,0.6063257065948856,0.7219959266802444,0.6648241206030151,0.7829547834741298,0.5,0.3336663336663337,0.9958890030832476,0.6622226694169139,0.4958890030832477,0.1663336663336663,0.3350436972727995,0.5020639834881321,0.6673326673326674,0.07214428857715431,0.9800199800199799,0.3319630010277492,0.6480569789922308,0.2598187124505949,0.9078756914428258,0.33873085018223953,0.21732629345378066,0.073615120148554,0.2111436950146628,1.0,0.9877675840978594,0.012232415902140636,0.7766238890831966,0.7888563049853372,0.9877675840978594,0.21375847761546354,0.2111436950146628,1.0,0.02911208151382824,1.0,0.9708879184861716,0.0,0.9708879184861716,0.02911208151382824,1.0,0.02911208151382824
[],0.0,True,0.0,0.0,0.0,0.0,3dig_4miss,False,False,60,1000,64,0.001,1e-08,0.5,0.0,cnn,True,cmnist,1.0,0.4,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,2,"[2, 4, 6]",,,baseline_cnn,True,0,False,13,13,results/cmnist/3_digits/4miss/,,,False,4,cuda:0,True,0.5834454912516823,0.6629327902240326,0.6814070351758794,0.8451807113223325,0.3888324873096447,0.3413111342351717,0.9970760233918128,0.6557648891566412,0.6082435360821683,0.04752135307447297,0.3423120466522836,0.3899727585334266,0.8777845097170864,0.007106598984771574,1.0,0.30896686159844056,0.6910331384015594,0.301860262613669,0.9928934010152284,0.30896686159844056,0.02300116895386636,0.007106598984771574,0.020710059171597642,1.0,1.0,0.0,0.9792899408284024,0.9792899408284024,1.0,0.020710059171597642,0.020710059171597642,1.0,0.0,0.9985915492957746,0.9985915492957746,0.0014084507042253502,1.0,0.0,0.9985915492957746,0.0
[],0.0,True,0.0,0.0,0.0,0.0,3dig_4miss,False,False,60,1000,64,0.001,1e-08,0.5,0.0,cnn,True,cmnist,1.0,0.4,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,2,"[2, 4, 6]",,,baseline_cnn,True,0,False,14,14,results/cmnist/3_digits/4miss/,,,False,4,cuda:0,True,0.5565275908479138,0.6619144602851323,0.6884422110552764,0.8718470717042044,0.34460093896713617,0.3421891604675877,0.9989648033126294,0.6567756428450418,0.6543638643454932,0.0024117784995484892,0.34254376063387537,0.3449580383857549,0.9930012422288308,0.0009389671361502347,1.0,0.3395445134575569,0.660455486542443,0.3386055463214067,0.9990610328638496,0.3395445134575569,0.0027653727241497765,0.0009389671361502347,0.003003003003003003,1.0,1.0,0.0,0.996996996996997,0.996996996996997,1.0,0.003003003003003003,0.003003003003003003,1.0,0.0,0.9984350547730828,0.9984350547730828,0.0015649452269170805,1.0,0.0,0.9984350547730828,0.0
[],0.0,True,0.0,0.0,0.0,0.0,3dig_4miss,False,False,60,1000,64,0.001,1e-08,0.5,0.0,cnn,True,cmnist,1.0,0.4,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,2,"[2, 4, 6]",,,baseline_cnn,True,0,False,15,15,results/cmnist/3_digits/4miss/,,,False,4,cuda:0,True,0.5454239569313594,0.6731160896130346,0.6587939698492462,0.8512631733272468,0.3310069790628116,0.3109756097560976,0.997969543147208,0.6869939333911106,0.6669625640843966,0.02003136930671401,0.3116083169987346,0.3316804418889821,0.9394835439318248,0.01694915254237288,1.0,0.34416243654822337,0.6558375634517766,0.3272132840058505,0.9830508474576272,0.34416243654822337,0.049247537623118835,0.01694915254237288,0.050445103857566766,1.0,0.9970501474926252,0.002949852507374673,0.9466050436350586,0.9495548961424332,0.9970501474926252,0.05059434972696785,0.050445103857566766,1.0,0.0,0.9984520123839008,0.9984520123839008,0.001547987616099089,1.0,0.0,0.9984520123839008,0.0
[],0.0,True,0.0,0.0,0.0,0.0,3dig_4miss,False,False,60,1000,64,0.001,1e-08,0.5,0.0,cnn,True,cmnist,1.0,0.4,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,2,"[2, 4, 6]",,,baseline_cnn,True,0,False,16,16,results/cmnist/3_digits/4miss/,,,False,4,cuda:0,True,0.5420592193808883,0.6293279022403259,0.6758793969849246,0.8655913701036871,0.31153846153846154,0.3199577613516367,0.998984771573604,0.6790270102219673,0.6874463100351426,0.008419299813175185,0.3202829216782136,0.3118550656660413,0.9736862147753238,0.0,1.0,0.3208121827411167,0.6791878172588832,0.3208121827411167,1.0,0.3208121827411167,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.9985074626865672,0.9985074626865672,0.0014925373134327955,1.0,0.0,0.9985074626865672,0.0
[],0.0,True,0.0,0.0,0.0,0.0,3dig_4miss,False,False,60,1000,64,0.001,1e-08,0.5,0.0,cnn,True,cmnist,1.0,0.4,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,2,"[2, 4, 6]",,,baseline_cnn,True,0,False,17,17,results/cmnist/3_digits/4miss/,,,False,4,cuda:0,True,0.5356662180349933,0.6527494908350305,0.6582914572864321,0.8795323663387331,0.32884615384615384,0.3247011952191235,0.9956896551724138,0.6709884599532903,0.6668435013262599,0.004144958627030349,0.32610682809885994,0.3302697302697303,0.9873954474499662,0.0,1.0,0.3415948275862069,0.6584051724137931,0.3415948275862069,1.0,0.3415948275862069,0.0,0.0,0.0,1.0,0.9968354430379748,0.003164556962025333,0.9968354430379748,1.0,0.9968354430379748,0.0,0.0,1.0,0.0,0.9967320261437908,0.9967320261437908,0.003267973856209139,1.0,0.0,0.9967320261437908,0.0
[],0.0,True,0.0,0.0,0.0,0.0,3dig_4miss,False,False,60,1000,64,0.001,1e-08,0.5,0.0,cnn,True,cmnist,1.0,0.4,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,2,"[2, 4, 6]",,,baseline_cnn,True,0,False,18,18,results/cmnist/3_digits/4miss/,,,False,4,cuda:0,True,0.5497981157469717,0.6354378818737271,0.6668341708542713,0.8694403848344477,0.3736059479553903,0.3164426059979317,0.9967707212055974,0.6803281152076657,0.623164773250207,0.05716334195745858,0.3174677980260028,0.37481633439585055,0.8469956319745635,0.0018587360594795536,1.0,0.34230355220667386,0.6576964477933261,0.3404448161471943,0.9981412639405204,0.34230355220667386,0.005430081129737439,0.0018587360594795536,0.005571030640668525,1.0,0.996845425867508,0.003154574132492094,0.9912743952268394,0.9944289693593314,0.996845425867508,0.005588660484468108,0.005571030640668525,1.0,0.0,0.9967320261437908,0.9967320261437908,0.003267973856209139,1.0,0.0,0.9967320261437908,0.0
[],0.0,True,0.0,0.0,0.0,0.0,3dig_4miss,False,False,60,1000,64,0.001,1e-08,0.5,0.0,cnn,True,cmnist,1.0,0.4,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,2,"[2, 4, 6]",,,baseline_cnn,True,0,False,19,19,results/cmnist/3_digits/4miss/,,,False,4,cuda:0,True,0.6345895020188426,0.7535641547861507,0.6934673366834171,0.7470644495847115,0.5057232049947971,0.3698347107438016,0.9990412272291468,0.6292065164853451,0.4933180222343496,0.13588849425099542,0.3701896384892371,0.5062085439631222,0.7312986770057477,0.07804370447450573,0.9431818181818182,0.34707574304889743,0.5961060751329208,0.2690320385743917,0.8651381137073125,0.3679839203409997,0.22486072863787146,0.08274513245489762,0.2373417721518987,1.0,0.9972451790633609,0.0027548209366391463,0.7599034069114621,0.7626582278481013,0.9972451790633609,0.237997412406462,0.2373417721518987,1.0,0.08270676691729323,1.0,0.9172932330827068,0.0,0.9172932330827068,0.08270676691729323,1.0,0.08270676691729323
[],0.0,True,0.0,0.0,0.0,0.0,3dig_4miss,False,False,60,1000,64,0.001,1e-08,0.5,0.0,cnn,True,cmnist,1.0,0.4,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,2,"[2, 4, 6]",,,baseline_cnn,True,0,False,20,20,results/cmnist/3_digits/4miss/,,,False,4,cuda:0,True,0.5763795423956931,0.6924643584521385,0.6864321608040201,0.8538464509596567,0.3477366255144033,0.3616803278688525,0.998046875,0.6363665471311475,0.6503102494855967,0.01394370235444914,0.3623881171601809,0.3484171277169755,0.961447440515744,0.0102880658436214,1.0,0.310546875,0.689453125,0.3002588091563786,0.9897119341563786,0.310546875,0.033128866112793434,0.0102880658436214,0.03215434083601286,1.0,0.9968553459119496,0.0031446540880503138,0.9647010050759368,0.9678456591639872,0.9968553459119496,0.03225577408786148,0.03215434083601286,1.0,0.0,0.9985835694050992,0.9985835694050992,0.0014164305949008196,1.0,0.0,0.9985835694050992,0.0
[],0.0,True,0.0,0.0,0.0,0.0,3dig_4miss,False,False,60,1000,64,0.001,1e-08,0.5,0.0,cnn,True,cmnist,1.0,0.4,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,2,"[2, 4, 6]",,,baseline_cnn,True,0,False,21,21,results/cmnist/3_digits/4miss/,,,False,4,cuda:0,True,0.5578734858681023,0.639511201629328,0.6592964824120603,0.854757845419586,0.3443298969072165,0.3172205438066465,1.0,0.6827794561933535,0.6556701030927835,0.027109353100569944,0.3172205438066465,0.3443298969072165,0.9212692439893628,0.0010309278350515462,1.0,0.30921704658077304,0.6907829534192269,0.3081861187457215,0.9989690721649483,0.30921704658077304,0.0033339941845096487,0.0010309278350515462,0.0028169014084507052,1.0,1.0,0.0,0.9971830985915492,0.9971830985915492,1.0,0.0028169014084507052,0.0028169014084507052,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
[],0.0,True,0.0,0.0,0.0,0.0,3dig_4miss,False,False,60,1000,64,0.001,1e-08,0.5,0.0,cnn,True,cmnist,1.0,0.4,0.2,,False,eight,False,0.0,False,False,True,True,False,False,1.0,2,0,1,2,"[2, 4, 6]",,,baseline_cnn,True,0,False,22,22,results/cmnist/3_digits/4miss/,,,False,4,cuda:0,True,0.553835800807537,0.6731160896130346,0.6668341708542713,0.8591595976191271,0.3220858895705521,0.3286004056795132,0.9990079365079364,0.6704075308284233,0.6769220469373844,0.006514516108961088,0.3289267218718464,0.3224057365313968,0.9801749602363098,0.002044989775051125,1.0,0.3333333333333333,0.6666666666666667,0.3312883435582822,0.9979550102249488,0.3333333333333333,0.006134969325153375,0.002044989775051125,0.006191950464396285,1.0,1.0,0.0,0.9938080495356038,0.9938080495356038,1.0,0.006191950464396285,0.006191950464396285,1.0,0.0,0.99851411589896,0.99851411589896,0.0014858841010401134,1.0,0.0,0.99851411589896,0.0
