approach,Seed,data,method,wandb_url,cluster_test_acc,cluster_context_acc,Accuracy,TPR,TNR,Renyi preds and s,Accuracy_sens_1,Accuracy_sens_0,Accuracy_sens_0-sens_1,Accuracy_sens_0/sens_1,prob_pos_sens_1,prob_pos_sens_0,prob_pos_sens_0-sens_1,prob_pos_sens_0/sens_1,TPR_sens_1,TPR_sens_0,TPR_sens_0-sens_1,TPR_sens_0/sens_1,TNR_sens_1,TNR_sens_0,TNR_sens_0-sens_1,TNR_sens_0/sens_1
0.01,47,train,DRO,(None),n/a,n/a,0.969215492,0.940936864,0.996124031,0.084945107,0.996226415,0.939203354,0.057023061,0.942760943,0.500943396,0.416142558,0.084800839,0.830717723,1,0.872527473,0.127472527,0.872527473,0.99249531,1,0.00750469,0.99249531
0.01,48,train,DRO,(None),n/a,n/a,0.947368421,0.895112016,0.997093023,0.095825238,0.996887967,0.901904762,0.094983205,0.904720281,0.487551867,0.392380952,0.095170915,0.804798379,1,0.8,0.2,0.8,0.993963783,1,0.006036217,0.993963783
0.01,49,train,DRO,(None),n/a,n/a,0.92999007,0.865580448,0.99127907,0.158436427,0.990927419,0.870841487,0.120085932,0.878814604,0.506048387,0.349315068,0.156733319,0.690279976,1,0.73006135,0.26993865,0.73006135,0.981963928,1,0.018036072,0.981963928
0.01,50,train,DRO,(None),n/a,n/a,0.934955313,0.873727088,0.993217054,0.148976649,0.99185336,0.880813953,0.111039407,0.888048565,0.50509165,0.35755814,0.14753351,0.707907446,0.997959184,0.75,0.247959184,0.751533742,0.985772358,1,0.014227642,0.985772358
0.01,51,train,DRO,(None),n/a,n/a,0.944389275,0.892057026,0.994186047,0.122516451,0.993914807,0.89688716,0.097027648,0.902378305,0.5,0.378404669,0.121595331,0.756809339,1,0.785858586,0.214141414,0.785858586,0.987975952,1,0.012024048,0.987975952
0.01,52,train,DRO,(None),n/a,n/a,0.817279047,0.631364562,0.994186047,0.389466859,0.99408867,0.637637638,0.356451032,0.641429338,0.489655172,0.129129129,0.360526043,0.263714419,1,0.262729124,0.737270876,0.262729124,0.988549618,1,0.011450382,0.988549618
0.01,53,train,DRO,(None),n/a,n/a,0.88182721,0.761710794,0.996124031,0.253079285,0.766298897,0.995083579,0.228784682,0.770084958,0.249749248,0.494591937,0.244842689,0.504960209,0.51659751,0.998,0.48140249,0.517632776,1,0.992263056,0.007736944,0.992263056
0.01,54,train,DRO,(None),n/a,n/a,0.956802383,0.915478615,0.996124031,0.076622462,0.919339164,0.995939086,0.076599922,0.923087744,0.411078717,0.487309645,0.076230927,0.843567784,0.835968379,1,0.164031621,0.835968379,1,0.992141454,0.007858546,0.992141454
0.01,55,train,DRO,(None),n/a,n/a,0.806852036,0.609979633,0.994186047,0.451650891,0.994041708,0.619662363,0.374379345,0.623376623,0.507447865,0.093346574,0.414101291,0.183953033,1,0.19706499,0.80293501,0.19706499,0.988047809,1,0.011952191,0.988047809
0.01,56,train,DRO,(None),n/a,n/a,0.953823237,0.910386965,0.995155039,0.111022326,0.909184727,0.995215311,0.086030584,0.913555807,0.389060888,0.499521531,0.110460644,0.778867102,0.810752688,1,0.189247312,0.810752688,1,0.990530303,0.009469697,0.990530303
