approach,seed,data,method,wandb_url,cluster_test_acc,cluster_context_acc,Accuracy,TPR,TNR,Renyi preds and s,Accuracy_colour_0.0,Accuracy_colour_1.0,Accuracy_colour_0.0-colour_1.0,Accuracy_colour_0.0/colour_1.0,prob_pos_colour_0.0,prob_pos_colour_1.0,prob_pos_colour_0.0-colour_1.0,prob_pos_colour_0.0/colour_1.0,TPR_colour_0.0,TPR_colour_1.0,TPR_colour_0.0-colour_1.0,TPR_colour_0.0/colour_1.0,TNR_colour_0.0,TNR_colour_1.0,TNR_colour_0.0-colour_1.0,TNR_colour_0.0/colour_1.0
ranking 256,2410,x_rand_s,pytorch_classifier,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/ety6p438,0.931479643,0.967326072,0.831678252,0.655804481,0.999031008,0.346626949,0.991080278,0.671641791,0.319438486,0.677686567,0.481665015,0.158208955,0.32345606,0.328462625,0.983772819,0.325153374,0.658619445,0.330516729,0.998062016,1,0.001937984,0.998062016
ranking 256,1,x_rand_s,pytorch_classifier,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/y5pf2l48,0.958291956,0.969588551,0.656405164,0.295315682,1,0.417121667,0.797979798,0.51953125,0.278448548,0.651058149,0.292929293,0,0.292929293,0,0.591836735,0,0.591836735,0,1,1,0,1
ranking 256,888,x_rand_s,pytorch_classifier,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/b4mj1d9c,0.956802383,0.97845402,0.98857994,0.980651731,0.996124031,0.035896579,0.994059406,0.983067729,0.010991677,0.988942636,0.498019802,0.462151394,0.035868408,0.927977949,0.992079208,0.968553459,0.023525749,0.976286421,0.996039604,0.996204934,0.00016533,0.999834041
ranking 256,1996,x_rand_s,pytorch_classifier,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/1mhdw61p,0.884806356,0.932139699,0.988083416,0.979633401,0.996124031,0.012637393,0.997,0.979289941,0.017710059,0.982236651,0.486,0.473372781,0.012627219,0.974018068,0.997938144,0.961770624,0.036167521,0.963757753,0.996116505,0.996131528,1.50E-05,0.999984918
ranking 256,711,x_rand_s,pytorch_classifier,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/qjo3vc3f,0.855014896,0.928809049,0.739324727,0.465376782,1,0.520141751,0.958015267,0.502070393,0.455944874,0.524073478,0.436068702,0,0.436068702,0,0.912175649,0,0.912175649,0,1,1,0,1
no clustering 128,888,x_rand_s,pytorch_classifier,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/1w0o3s8v,0,0,0.7865,0.5682,0.9942,0.442,nan,nan,nan,nan,0.0822,0.4791,0.3969,0.1715,0.1624,0.9979,0.8355,0.1627,0.998,0.9905,0.0075,0.9925
no clustering 128,1,x_rand_s,pytorch_classifier,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/koofoy4q,0,0,0.8649,0.7291,0.9942,0.2922,nan,nan,nan,nan,0.2207,0.501,0.2803,0.4405,0.4593,1,0.5407,0.4593,1,0.988,0.012,0.988
no clustering 128,2410,x_rand_s,pytorch_classifier,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/38kj2c15,0,0,0.9965,0.998,0.9952,0.0009,nan,nan,nan,nan,0.4896,0.4886,0.0009,0.9981,1,0.9959,0.0041,0.9959,0.9942,0.9961,0.0019,0.9981
no clustering 128,1996,x_rand_s,pytorch_classifier,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/3172bknq,0,0,0.7493,0.4868,0.999,0.5625,nan,nan,nan,nan,0,0.479,0.479,0,0,0.9856,0.9856,0,1,0.9981,0.0019,0.9981
no clustering 128,711,x_rand_s,pytorch_classifier,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/24n1jmvf,0,0,0.7696,0.612,0.9196,0.4598,nan,nan,nan,nan,0.1128,0.5487,0.4358,0.2057,0.2245,0.984,0.7595,0.2282,0.9979,0.8501,0.1478,0.8518
kmeans 128,888,x_rand_s,pytorch_classifier,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/2755avfh,0,0.8632,0.7637,0.5183,0.9971,0.5103,nan,nan,nan,nan,0.0327,0.4771,0.4444,0.0685,0.0653,0.9979,0.9326,0.0655,1,0.9943,0.0057,0.9943
kmeans 128,1,x_rand_s,pytorch_classifier,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/23qnwcd7,0,0.7744,0.8759,0.7475,0.9981,0.2582,nan,nan,nan,nan,0.2432,0.4919,0.2488,0.4943,0.5061,0.9898,0.4837,0.5113,1,0.996,0.004,0.996
kmeans 128,2410,x_rand_s,pytorch_classifier,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/2fy2u1za,0,0.9509,0.7542,0.4959,1,0.5636,nan,nan,nan,nan,0,0.4827,0.4827,0,0,0.9878,0.9878,0,1,1,0,1
kmeans 128,1996,x_rand_s,pytorch_classifier,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/336hwu7k,0,0.8806,0.9945,0.9949,0.9942,0.0061,nan,nan,nan,nan,0.4911,0.485,0.0061,0.9875,0.996,0.9938,0.0022,0.9978,0.9942,0.9942,0,1
kmeans 128,711,x_rand_s,pytorch_classifier,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/3fhbb88n,0,0.8967,0.9722,0.946,0.9971,0.0359,nan,nan,nan,nan,0.4441,0.48,0.0359,0.9253,0.8919,0.998,0.1061,0.8937,1,0.9945,0.0055,0.9945
ranking 128,888,x_rand_s,pytorch_classifier,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/2fu99gd1,0,0.9568,0.9975,0.999,0.9961,0.0259,nan,nan,nan,nan,0.502,0.4761,0.0259,0.9484,0.998,1,0.002,0.998,0.9941,0.9981,0.004,0.9959
ranking 128,1,x_rand_s,pytorch_classifier,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/ntblhhul,0,0.9583,0.9896,0.9878,0.9913,0.0333,nan,nan,nan,nan,0.4697,0.503,0.0333,0.9338,0.9756,1,0.0244,0.9756,0.9981,0.984,0.0141,0.9859
ranking 128,2410,x_rand_s,pytorch_classifier,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/2dp4surl,0,0.9315,0.9732,0.9593,0.9864,0.0279,nan,nan,nan,nan,0.4607,0.4886,0.0279,0.9429,0.9284,0.9899,0.0614,0.9379,0.9826,0.9903,0.0078,0.9922
ranking 128,1996,x_rand_s,pytorch_classifier,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/2rmy5iwb,0,0.8848,0.6077,0.1955,1,0.3269,nan,nan,nan,nan,0,0.192,0.192,0,0,0.3959,0.3959,0,1,1,0,1
ranking 128,711,x_rand_s,pytorch_classifier,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/1k0o0cdw,0,0.855,0.7661,0.5285,0.9922,0.5241,nan,nan,nan,nan,0.0217,0.4828,0.4611,0.045,0.0437,0.994,0.9504,0.0439,1,0.9854,0.0146,0.9854
nocluster 256 new bias,888,x_rand_s,pytorch_classifier,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/jnh8c2rp,0,0,0.875868918,0.749490835,0.996124031,0.228851802,0.757425743,0.99501992,0.237594178,0.761216662,0.257425743,0.478087649,0.220661907,0.538448845,0.514851485,0.997903564,0.483052079,0.515933106,1,0.992409867,0.007590133,0.992409867
