approach,seed,data,method,wandb_url,cluster_test_acc,cluster_context_acc,Accuracy,TPR,TNR,Renyi preds and s,Accuracy_colour_0.0,Accuracy_colour_2.0,Accuracy_colour_1.0,Accuracy_colour_0.0-colour_1.0,Accuracy_colour_0.0-colour_2.0,Accuracy_colour_1.0-colour_2.0,Accuracy_colour_0.0/colour_1.0,Accuracy_colour_0.0/colour_2.0,Accuracy_colour_1.0/colour_2.0,prob_pos_colour_0.0,prob_pos_colour_2.0,prob_pos_colour_1.0,prob_pos_colour_0.0-colour_1.0,prob_pos_colour_0.0-colour_2.0,prob_pos_colour_1.0-colour_2.0,prob_pos_colour_0.0/colour_1.0,prob_pos_colour_0.0/colour_2.0,prob_pos_colour_1.0/colour_2.0,TPR_colour_0.0,TPR_colour_2.0,TPR_colour_1.0,TPR_colour_0.0-colour_1.0,TPR_colour_0.0-colour_2.0,TPR_colour_1.0-colour_2.0,TPR_colour_0.0/colour_1.0,TPR_colour_0.0/colour_2.0,TPR_colour_1.0/colour_2.0,TNR_colour_0.0,TNR_colour_2.0,TNR_colour_1.0,TNR_colour_0.0-colour_1.0,TNR_colour_0.0-colour_2.0,TNR_colour_1.0-colour_2.0,TNR_colour_0.0/colour_1.0,TNR_colour_0.0/colour_2.0,TNR_colour_1.0/colour_2.0
1,711,train,DRO,n/a,nan,nan,0.827706058,0.99490835,0.668604651,0.503955921,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.486404834,1,0.490674319,0.004269485,0.509325681,0.513595166,0.99129874,0.490674319,0.486404834,0.996865204,1,0.988059701,0.008805502,0.011940299,0.003134796,0.991166807,0.988059701,0.996865204,0.988338192,0,0.96961326,0.018724933,0.96961326,0.988338192,0.981054124,0,0
0.1,888,train,DRO,n/a,nan,nan,0.838629593,0.67107943,0.998062016,0.482628806,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.478195489,0,0.490701001,0.012505513,0.478195489,0.490701001,0.974515005,0,0,1,0,0.997076023,0.002923977,1,0.997076023,0.997076023,0,0,1,1,0.994397759,0.005602241,0,0.005602241,0.994397759,1,0.994397759
0.01,1,train,DRO,n/a,nan,nan,0.830188679,0.652749491,0.999031008,0.492245175,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.487987988,0,0.479576399,0.008411589,0.479576399,0.487987988,0.982762714,0,0,1,0,0.996845426,0.003154574,0.996845426,1,0.996845426,0,0,1,1,0.997093023,0.002906977,0.002906977,0,0.997093023,0.997093023,1
0.01,711,train,DRO,n/a,nan,nan,0.836146971,0.66395112,1,0.480338227,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.480362538,0,0.479196557,0.001165981,0.479196557,0.480362538,0.997572706,0,0,0.996865204,0,0.997014925,0.000149722,0.997014925,0.996865204,0.99984983,0,0,1,1,1,0,0,0,1,1,1
0.01,2410,train,DRO,n/a,nan,nan,0.817775571,0.629327902,0.997093023,0.487584912,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.482200647,0,0.46408046,0.018120187,0.482200647,0.46408046,0.962421893,0,0,0.996632997,0,0.996904025,0.000271028,0.996632997,0.996904025,0.99972813,0,0,0.99376947,1,0.997319035,0.003549564,0.00623053,0.002680965,0.996440894,0.99376947,0.997319035
0.01,1996,train,DRO,n/a,nan,nan,0.831181728,0.99796334,0.67248062,0.519689738,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.992857143,0.464555053,0.483870968,0.019315915,0.508986175,0.52830209,0.960080442,0.487352054,0.467897175,0.997222222,1,0.996825397,0.003174603,0.000396825,0.002777778,0.996825397,0.999602069,0.997222222,0.011764706,0.997191011,0.99702381,0.000167202,0.985259104,0.985426305,0.999832327,0.011799824,0.011797846
0.1,1,train,DRO,n/a,nan,nan,0.87040715,0.936863544,0.807170543,0.205189801,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.486486486,0.697234352,0.47806354,0.008422946,0.219170812,0.210747866,0.982686166,0.685656894,0.697737403,0.996923077,0.823529412,0.996845426,7.77E-05,0.173316014,0.173393665,0.999922109,0.826135517,0.826071169,1,0.426512968,1,0,0.573487032,0.573487032,1,0.426512968,0.426512968
0.01,888,train,DRO,n/a,nan,nan,0.838629593,0.67107943,0.998062016,0.482628806,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.478195489,0,0.490701001,0.012505513,0.478195489,0.490701001,0.974515005,0,0,1,0,0.997076023,0.002923977,1,0.997076023,0.997076023,0,0,1,1,0.994397759,0.005602241,0,0.005602241,0.994397759,1,0.994397759
0.1,711,train,DRO,n/a,nan,nan,0.835650447,0.66395112,0.999031008,0.480881979,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.480362538,0,0.480631277,0.000268739,0.480631277,0.480362538,0.999440862,0,0,0.996865204,0,0.997014925,0.000149722,0.997014925,0.996865204,0.99984983,0,0,1,1,0.997237569,0.002762431,0.002762431,0,0.997237569,0.997237569,1
1,888,train,DRO,n/a,nan,nan,0.820754717,0.652749491,0.980620155,0.483224997,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.469172932,0,0.499284692,0.03011176,0.469172932,0.499284692,0.9396902,0,0,0.946540881,0,0.994152047,0.047611166,0.946540881,0.994152047,0.952108768,0,0,0.968299712,1,0.974789916,0.006490204,0.031700288,0.025210084,0.993341946,0.968299712,0.974789916
1,1,train,DRO,n/a,nan,nan,0.746276068,0.83503055,0.661821705,0.631415146,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.457957958,1,0.267776097,0.190181861,0.732223903,0.542042042,0.584717641,0.267776097,0.457957958,0.932307692,1,0.558359621,0.373948071,0.441640379,0.067692308,0.598900584,0.558359621,0.932307692,0.994134897,0,1,0.005865103,1,0.994134897,0.994134897,0,0
0.5,888,train,DRO,n/a,nan,nan,0.832174777,0.732179226,0.927325581,0.25740008,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.472180451,0.212307692,0.489270386,0.017089935,0.259872759,0.276962694,0.965070571,0.449632533,0.433927126,0.987421384,0.198757764,0.997076023,0.00965464,0.78866362,0.798318259,0.990317048,0.20128971,0.199340631,1,0.774390244,0.99719888,0.00280112,0.225609756,0.222808636,0.99719888,0.774390244,0.776565497
0.5,1996,train,DRO,n/a,nan,nan,0.829195631,0.99694501,0.669573643,0.529377139,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,0.464555053,0.479262673,0.01470762,0.520737327,0.535444947,0.969311985,0.479262673,0.464555053,1,1,0.99047619,0.00952381,0.00952381,0,0.99047619,0.99047619,1,0,0.997191011,1,0.002808989,1,0.997191011,0.997191011,0,0
0.1,2410,train,DRO,n/a,nan,nan,0.807845084,0.630346232,0.976744186,0.448633359,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.480582524,0.032857143,0.46408046,0.016502065,0.447725381,0.431223317,0.965662371,0.068369408,0.070800531,0.996632997,0.002762431,0.996904025,0.000271028,0.993870566,0.994141594,0.99972813,0.002771763,0.00277101,0.996884735,0.934911243,0.997319035,0.0004343,0.061973493,0.062407792,0.999564533,0.93783284,0.937424445
0.5,1,train,DRO,n/a,nan,nan,0.822740814,0.989816701,0.66375969,0.522341479,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.48048048,1,0.472012103,0.008468378,0.527987897,0.51951952,0.982375189,0.472012103,0.48048048,0.984615385,1,0.984227129,0.000388255,0.015772871,0.015384615,0.999605678,0.984227129,0.984615385,1,0,1,0,1,1,1,0,0
0.5,711,train,DRO,n/a,nan,nan,0.878848064,0.807535642,0.946705426,0.162703394,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.47734139,0.305343511,0.476327116,0.001014274,0.170983605,0.171997878,0.997875161,0.641037432,0.639675331,0.990595611,0.442073171,0.991044776,0.000449165,0.548971605,0.548522441,0.999546776,0.446067808,0.446270068,1,0.831804281,1,0,0.168195719,0.168195719,1,0.831804281,0.831804281
0.1,1996,train,DRO,n/a,nan,nan,0.829692155,0.99898167,0.668604651,0.527741256,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,0.464555053,0.483870968,0.019315915,0.516129032,0.535444947,0.960080442,0.483870968,0.464555053,1,1,0.996825397,0.003174603,0.003174603,0,0.996825397,0.996825397,1,0,0.997191011,0.99702381,0.000167202,0.99702381,0.997191011,0.999832327,0,0
0.5,2410,train,DRO,n/a,nan,nan,0.829195631,0.99389002,0.67248062,0.532836496,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.474110032,1,0.461206897,0.012903136,0.525889968,0.538793103,0.972784512,0.474110032,0.461206897,0.986531987,1,0.99380805,0.007276063,0.013468013,0.00619195,0.992678603,0.986531987,0.99380805,1,0,1,0,1,1,1,0,0
1,2410,train,DRO,n/a,nan,nan,0.696623635,0.721995927,0.67248062,0.730534863,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.398058252,1,0.145114943,0.25294331,0.601941748,0.854885057,0.364557051,0.398058252,0.145114943,0.828282828,1,0.312693498,0.51558933,0.171717172,0.687306502,0.377520199,0.828282828,0.312693498,1,0,1,0,1,1,1,0,0
1,1996,train,DRO,n/a,nan,nan,0.783018868,0.915478615,0.656976744,0.584487576,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,0.340874811,0.502304147,0.161429336,0.497695853,0.659125189,0.678622331,0.502304147,0.340874811,1,0.732899023,0.996825397,0.263926374,0.003174603,0.267100977,0.735233096,0.996825397,0.732899023,0,0.997191011,0.961309524,0.035881487,0.961309524,0.997191011,0.964017438,0,0
kmeans oversample,888,x_rand_s,pytorch_classifier,https://app.wandb.ai/predictive-analytics-lab/suds/runs/1a1734xf,nan,0.73381295,0.99056604,0.98778004,0.99321705,0.00608493,0.99548872,0.98769231,0.98855508,0.00693364,0.00779641,0.00086277,0.99303494,0.99216825,0.99912724,0.48270677,0.48307692,0.48927039,0.00656362,0.00037016,0.00619346,0.98658488,0.99923375,0.98734143,1,0.97515528,0.98830409,0.01169591,0.02484472,0.01314881,0.98830409,0.97515528,0.98669558,0.99135447,1,0.98879552,0.00255895,0.00864553,0.01120448,0.99741873,0.99135447,0.98879552
kmeans oversample,2410,x_rand_s,pytorch_classifier,https://app.wandb.ai/predictive-analytics-lab/suds/runs/1ywlwnmk,nan,0.60585885,0.96226415,0.97250509,0.95251938,0.07963546,0.99029126,0.91,0.98994253,0.00034873,0.08029126,0.07994253,0.99964785,0.91892157,0.91924528,0.47411003,0.55285714,0.46551724,0.00859279,0.07874711,0.0873399,0.98187596,0.85756337,0.84202085,0.98316498,0.94751381,0.99071207,0.00754709,0.03565117,0.04319826,0.99238215,0.96373836,0.95639675,0.99688474,0.86982249,0.98927614,0.0076086,0.12706225,0.11945365,0.99236763,0.87254068,0.87925146
kmeans oversample,1,x_rand_s,pytorch_classifier,https://app.wandb.ai/predictive-analytics-lab/suds/runs/3fcb325f,nan,0.8217765,0.83018868,0.65173116,1,0.4911205,0.9984985,0.50509461,0.99848714,1.14E-05,0.49339253,0.49340388,0.99998863,0.50585991,0.50585416,0.48648649,0,0.47806354,0.00842295,0.47806354,0.48648649,0.98268617,0,0,0.99692308,0,0.99684543,7.77E-05,0.99684543,0.99692308,0.99992211,0,0,1,1,1,0,0,0,1,1,1
kmeans oversample,711,x_rand_s,pytorch_classifier,https://app.wandb.ai/predictive-analytics-lab/suds/runs/1v1meusf,nan,0.56440776,0.87884806,0.98778004,0.7751938,0.33296507,0.99546828,0.64122137,0.99139168,0.0040766,0.3501703,0.3542469,0.99590484,0.64678914,0.64414044,0.48036254,0.83206107,0.48637016,0.00600762,0.34569091,0.35169853,0.98764805,0.58453661,0.57731644,0.99373041,0.97256098,0.99701493,0.00328452,0.02445395,0.02116943,0.99670565,0.97547283,0.97869701,0.99708455,0.3088685,0.98618785,0.0108967,0.67731934,0.68821605,0.98907144,0.31319439,0.30977163
kmeans oversample,1996,x_rand_s,pytorch_classifier,https://app.wandb.ai/predictive-analytics-lab/suds/runs/oiy342ie,nan,0.47646166,0.99304866,0.99592668,0.99031008,0.04060077,0.99142857,0.99396682,0.99385561,0.00011121,0.00242704,0.00253825,0.99988811,0.99755796,0.99744635,0.51714286,0.46907994,0.48387097,0.01479103,0.03327189,0.04806292,0.96943188,0.93566209,0.90706066,0.99444444,1,0.99365079,0.00634921,0.00079365,0.00555556,0.99365079,0.99920192,0.99444444,0.98823529,0.98876404,0.99404762,0.00528357,0.00581232,0.00052875,0.99468479,0.99415287,0.99946524
