approach,seed,data,method,wandb_url,cluster_test_acc,cluster_context_acc,Accuracy,TPR,TNR,Renyi preds and s,prob_pos_sex_Male_1.0,prob_pos_sex_Male_0.0,prob_pos_sex_Male_0.0-sex_Male_1.0,prob_pos_sex_Male_0.0/sex_Male_1.0,TPR_sex_Male_1.0,TPR_sex_Male_0.0,TPR_sex_Male_0.0-sex_Male_1.0,TPR_sex_Male_0.0/sex_Male_1.0,TNR_sex_Male_1.0,TNR_sex_Male_0.0,TNR_sex_Male_0.0-sex_Male_1.0,TNR_sex_Male_0.0/sex_Male_1.0
ranking,888,original_data,Logistic Regression (C=1.0),https://app.wandb.ai/predictive-analytics-lab/fdm/runs/1szr80gb,0.604790419,0.698639982,0.663922156,0.377245509,0.950598802,0.374567483,0.366766467,0.05988024,0.306886228,0.163265306,0.634730539,0.119760479,0.51497006,0.188679245,0.901197605,1,0.098802395,0.901197605
ranking,888,original_data,Majority,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/1szr80gb,0.604790419,0.698639982,0.5,0,1,1,0,0,0,nan,0,0,0,nan,1,1,0,1
ranking,888,original_data,Kamiran & Calders LR,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/1szr80gb,0.604790419,0.698639982,0.643712575,0.314371257,0.973053892,0.30639623,0.285928144,0.055389222,0.230538922,0.193717277,0.517964072,0.110778443,0.407185629,0.213872832,0.946107784,1,0.053892216,0.946107784
ranking,888,original_data,LRCV,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/1szr80gb,0.604790419,0.698639982,0.660179641,0.369760479,0.950598802,0.38987455,0.368263473,0.050898204,0.317365269,0.138211382,0.637724551,0.101796407,0.535928144,0.159624413,0.901197605,1,0.098802395,0.901197605
ranking,888,original_data,SVM,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/1szr80gb,0.604790419,0.698639982,0.661676647,0.368263473,0.95508982,0.33648361,0.342814371,0.070359281,0.27245509,0.205240175,0.595808383,0.140718563,0.45508982,0.236180905,0.910179641,1,0.089820359,0.910179641
ranking,1,original_data,Logistic Regression (C=1.0),https://app.wandb.ai/predictive-analytics-lab/fdm/runs/dwaqsi0g,0.603293413,0.696981424,0.656437126,0.374251497,0.938622754,0.375375312,0.372754491,0.062874251,0.30988024,0.168674699,0.622754491,0.125748503,0.497005988,0.201923077,0.877245509,1,0.122754491,0.877245509
ranking,1,original_data,Majority,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/dwaqsi0g,0.603293413,0.696981424,0.5,0,1,1,0,0,0,nan,0,0,0,nan,1,1,0,1
ranking,1,original_data,Kamiran & Calders LR,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/dwaqsi0g,0.603293413,0.696981424,0.625,0.284431138,0.965568862,0.271939291,0.258982036,0.05988024,0.199101796,0.231213873,0.449101796,0.119760479,0.329341317,0.266666667,0.931137725,1,0.068862275,0.931137725
ranking,1,original_data,LRCV,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/dwaqsi0g,0.603293413,0.696981424,0.657185629,0.375748503,0.938622754,0.365855589,0.369760479,0.067365269,0.30239521,0.182186235,0.619760479,0.131736527,0.488023952,0.212560386,0.880239521,0.997005988,0.116766467,0.882882883
ranking,1,original_data,SVM,https://app.wandb.ai/predictive-analytics-lab/fdm/runs/dwaqsi0g,0.603293413,0.696981424,0.652694611,0.360778443,0.944610778,0.32452446,0.339820359,0.076347305,0.263473054,0.224669604,0.574850299,0.146706587,0.428143713,0.255208333,0.895209581,0.994011976,0.098802395,0.90060241
