seed,data,method,wandb_url,cluster_test_acc,cluster_context_acc,Accuracy,TPR,TNR,Renyi preds and s,prob_pos_sex_Male_1.0,prob_pos_sex_Male_0.0,prob_pos_sex_Male_0.0-sex_Male_1.0,prob_pos_sex_Male_0.0/sex_Male_1.0,TPR_sex_Male_1.0,TPR_sex_Male_0.0,TPR_sex_Male_0.0-sex_Male_1.0,TPR_sex_Male_0.0/sex_Male_1.0,TNR_sex_Male_1.0,TNR_sex_Male_0.0,TNR_sex_Male_0.0-sex_Male_1.0,TNR_sex_Male_0.0/sex_Male_1.0
2410,original_data,"LRCV",https://app.wandb.ai/predictive-analytics-lab/fdm/runs/f5d3g5w1,nan,0.34951348960636885,0.6609281437125748,0.3727544910179641,0.9491017964071856,0.3462217927333903,0.3532934131736527,0.07035928143712575,0.28293413173652693,0.19915254237288135,0.6107784431137725,0.1347305389221557,0.4760479041916168,0.22058823529411764,0.9041916167664671,0.9940119760479041,0.08982035928143706,0.9096385542168676
1,original_data,"LRCV",https://app.wandb.ai/predictive-analytics-lab/fdm/runs/i4cidxtg,nan,0.33475232198142413,0.657185628742515,0.37574850299401197,0.938622754491018,0.365855589388462,0.36976047904191617,0.06736526946107785,0.3023952095808383,0.18218623481781376,0.6197604790419161,0.1317365269461078,0.4880239520958083,0.21256038647342998,0.8802395209580839,0.9970059880239521,0.11676646706586824,0.8828828828828829
711,original_data,"Logistic Regression (C=1.0)",https://app.wandb.ai/predictive-analytics-lab/fdm/runs/nyxcusfq,nan,0.33491817779743477,0.6706586826347305,0.3772455089820359,0.9640718562874252,0.3882503188540067,0.36377245508982037,0.04940119760479042,0.3143712574850299,0.13580246913580246,0.655688622754491,0.09880239520958084,0.5568862275449102,0.1506849315068493,0.9281437125748503,1.0,0.07185628742514971,0.9281437125748503
711,original_data,"Majority",https://app.wandb.ai/predictive-analytics-lab/fdm/runs/nyxcusfq,nan,0.33491817779743477,0.5,0.0,1.0,1.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1.0,1.0,0.0,1.0
711,original_data,"Kamiran & Calders LR",https://app.wandb.ai/predictive-analytics-lab/fdm/runs/nyxcusfq,nan,0.33491817779743477,0.6414670658682635,0.3023952095808383,0.9805389221556886,0.31979937905475425,0.27844311377245506,0.04341317365269461,0.23502994011976044,0.15591397849462368,0.5179640718562875,0.08682634730538923,0.4311377245508982,0.1676300578034682,0.9610778443113772,1.0,0.038922155688622784,0.9610778443113772
888,original_data,"SVM",https://app.wandb.ai/predictive-analytics-lab/fdm/runs/dwokvebl,nan,0.3198252985404688,0.6616766467065869,0.36826347305389223,0.9550898203592815,0.33648360967347246,0.34281437125748504,0.07035928143712575,0.27245508982035926,0.20524017467248906,0.5958083832335329,0.1407185628742515,0.4550898203592814,0.23618090452261306,0.9101796407185628,1.0,0.08982035928143717,0.9101796407185628
2410,original_data,"SVM",https://app.wandb.ai/predictive-analytics-lab/fdm/runs/f5d3g5w1,nan,0.34951348960636885,0.6541916167664671,0.36077844311377244,0.9476047904191617,0.2847169004929382,0.3218562874251497,0.09131736526946108,0.23053892215568864,0.2837209302325581,0.5479041916167665,0.17365269461077845,0.37425149700598803,0.3169398907103825,0.9041916167664671,0.9910179640718563,0.08682634730538918,0.9123867069486405
1,original_data,"SVM",https://app.wandb.ai/predictive-analytics-lab/fdm/runs/i4cidxtg,nan,0.33475232198142413,0.6526946107784432,0.36077844311377244,0.9446107784431138,0.3245244600514671,0.3398203592814371,0.07634730538922156,0.26347305389221554,0.2246696035242291,0.5748502994011976,0.1467065868263473,0.4281437125748503,0.2552083333333333,0.8952095808383234,0.9940119760479041,0.09880239520958078,0.9006024096385543
711,original_data,"LRCV",https://app.wandb.ai/predictive-analytics-lab/fdm/runs/nyxcusfq,nan,0.33491817779743477,0.6714071856287425,0.3787425149700599,0.9640718562874252,0.38588546593252765,0.36377245508982037,0.05089820359281437,0.312874251497006,0.13991769547325103,0.655688622754491,0.10179640718562874,0.5538922155688623,0.1552511415525114,0.9281437125748503,1.0,0.07185628742514971,0.9281437125748503
1996,original_data,"Logistic Regression (C=1.0)",https://app.wandb.ai/predictive-analytics-lab/fdm/runs/cwc2kxp0,nan,0.35918841220698805,0.6646706586826348,0.37425149700598803,0.9550898203592815,0.34941587001229674,0.35179640718562877,0.06736526946107785,0.2844311377245509,0.19148936170212766,0.6167664670658682,0.1317365269461078,0.4850299401197604,0.21359223300970875,0.9131736526946108,0.9970059880239521,0.08383233532934131,0.9159159159159159
