bias.missing_s,bias.mixing_factor,bias.adult_biased_train,bias.log_dataset,baseline.greyscale,baseline.labelled_context_set,baseline.epochs,baseline.test_batch_size,baseline.batch_size,baseline.lr,baseline.weight_decay,baseline.eta,baseline.c,baseline.method,baseline.oversample,data.log_name,data.data_pcnt,data.context_pcnt,data.test_pcnt,data.root,data.transductive,data.drop_native,data.adult_split,data.drop_discrete,data.adult_balanced_test,data.balance_all_quadrants,misc.cluster_label_file,misc.exp_group,misc.log_method,misc.use_wandb,misc.gpu,misc.use_amp,misc.seed,misc.data_split_seed,misc.save_dir,misc.results_csv,misc.resume,misc.evaluate,misc.num_workers,misc.device,misc.use_gpu,Accuracy (erm),TPR (erm),TNR (erm),Renyi preds and s (erm),Accuracy_sex_Male_1.0 (erm),Accuracy_sex_Male_0.0 (erm),Accuracy_sex_Male_0.0-sex_Male_1.0 (erm),Accuracy_sex_Male_0.0÷sex_Male_1.0 (erm),prob_pos_sex_Male_1.0 (erm),prob_pos_sex_Male_0.0 (erm),prob_pos_sex_Male_0.0-sex_Male_1.0 (erm),prob_pos_sex_Male_0.0÷sex_Male_1.0 (erm),TPR_sex_Male_1.0 (erm),TPR_sex_Male_0.0 (erm),TPR_sex_Male_0.0-sex_Male_1.0 (erm),TPR_sex_Male_0.0÷sex_Male_1.0 (erm),TNR_sex_Male_1.0 (erm),TNR_sex_Male_0.0 (erm),TNR_sex_Male_0.0-sex_Male_1.0 (erm),TNR_sex_Male_0.0÷sex_Male_1.0 (erm)
[0],0.0,True,miss_s,False,False,60.0,1000.0,64.0,0.001,1e-08,0.5,0.0,erm,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_erm,True,0.0,False,22.0,22.0,results/adult/missing_demo/,,,False,4.0,cuda:0,True,0.7372754491017964,0.5464071856287425,0.9281437125748504,0.173303726508326,0.7574850299401198,0.7170658682634731,0.0404191616766467,0.9466403162055336,0.3892215568862275,0.2290419161676646,0.1601796407185629,0.5884615384615385,0.6467065868263473,0.4461077844311377,0.2005988023952095,0.6898148148148149,0.8682634730538922,0.9880239520958084,0.1197604790419162,0.8787878787878788
[0],0.0,True,miss_s,False,False,60.0,1000.0,64.0,0.001,1e-08,0.5,0.0,erm,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_erm,True,0.0,False,23.0,23.0,results/adult/missing_demo/,,,False,4.0,cuda:0,True,0.8166167664670658,0.7080838323353293,0.9251497005988024,0.0383392745920735,0.8068862275449101,0.8263473053892215,0.0194610778443113,0.9764492753623188,0.3727544910179641,0.4101796407185629,0.0374251497005987,0.9087591240875912,0.6796407185628742,0.7365269461077845,0.0568862275449102,0.9227642276422764,0.934131736526946,0.9161676646706588,0.0179640718562874,0.9807692307692308
[0],0.0,True,miss_s,False,False,60.0,1000.0,64.0,0.001,1e-08,0.5,0.0,erm,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_erm,True,0.0,False,19.0,19.0,results/adult/missing_demo/,,,False,4.0,cuda:0,True,0.7028443113772455,0.4655688622754491,0.940119760479042,0.1819751576123907,0.7410179640718563,0.6646706586826348,0.0763473053892215,0.896969696969697,0.342814371257485,0.1826347305389221,0.1601796407185629,0.5327510917030568,0.5838323353293413,0.3473053892215569,0.2365269461077844,0.5948717948717949,0.8982035928143712,0.9820359281437124,0.0838323353293413,0.9146341463414634
[0],0.0,True,miss_s,False,False,60.0,1000.0,64.0,0.001,1e-08,0.5,0.0,erm,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_erm,True,0.0,False,26.0,26.0,results/adult/missing_demo/,,,False,4.0,cuda:0,True,0.7470059880239521,0.5703592814371258,0.9236526946107784,0.1824226510026099,0.7709580838323353,0.7230538922155688,0.0479041916167665,0.9378640776699028,0.4086826347305389,0.2380239520958083,0.1706586826347305,0.5824175824175825,0.6796407185628742,0.4610778443113772,0.2185628742514969,0.6784140969162996,0.8622754491017964,0.9850299401197604,0.1227544910179641,0.8753799392097265
[0],0.0,True,miss_s,False,False,60.0,1000.0,64.0,0.001,1e-08,0.5,0.0,erm,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_erm,True,0.0,False,24.0,24.0,results/adult/missing_demo/,,,False,4.0,cuda:0,True,0.7709580838323353,0.6526946107784432,0.8892215568862275,0.0462217243237285,0.7275449101796407,0.8143712574850299,0.0868263473053891,0.8933823529411765,0.3592814371257485,0.4041916167664671,0.0449101796407185,0.8888888888888888,0.5868263473053892,0.718562874251497,0.1317365269461078,0.8166666666666667,0.8682634730538922,0.9101796407185628,0.0419161676646706,0.9539473684210528
[0],0.0,True,miss_s,False,False,60.0,1000.0,64.0,0.001,1e-08,0.5,0.0,erm,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_erm,True,0.0,False,25.0,25.0,results/adult/missing_demo/,,,False,4.0,cuda:0,True,0.7342814371257484,0.5359281437125748,0.9326347305389222,0.1647130574794608,0.7664670658682635,0.7020958083832335,0.06437125748503,0.916015625,0.3772455089820359,0.2260479041916167,0.1511976047904191,0.5992063492063493,0.6437125748502994,0.4281437125748503,0.2155688622754491,0.6651162790697674,0.8892215568862275,0.9760479041916168,0.0868263473053893,0.911042944785276
[0],0.0,True,miss_s,False,False,60.0,1000.0,64.0,0.001,1e-08,0.5,0.0,erm,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_erm,True,0.0,False,20.0,20.0,results/adult/missing_demo/,,,False,4.0,cuda:0,True,0.7761976047904192,0.6212574850299402,0.9311377245508982,0.1180882737999361,0.7904191616766467,0.7619760479041916,0.0284431137724551,0.9640151515151516,0.4011976047904191,0.2889221556886227,0.1122754491017964,0.7201492537313432,0.6916167664670658,0.5508982035928144,0.1407185628742514,0.7965367965367967,0.8892215568862275,0.9730538922155688,0.0838323353293413,0.913846153846154
[0],0.0,True,miss_s,False,False,60.0,1000.0,64.0,0.001,1e-08,0.5,0.0,erm,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_erm,True,0.0,False,27.0,27.0,results/adult/missing_demo/,,,False,4.0,cuda:0,True,0.7208083832335329,0.5014970059880239,0.940119760479042,0.1682457281578275,0.7664670658682635,0.6751497005988024,0.0913173652694611,0.880859375,0.3562874251497006,0.2050898203592814,0.1511976047904191,0.5756302521008404,0.6227544910179641,0.3802395209580838,0.2425149700598802,0.610576923076923,0.9101796407185628,0.9700598802395208,0.0598802395209581,0.9382716049382716
[0],0.0,True,miss_s,False,False,60.0,1000.0,64.0,0.001,1e-08,0.5,0.0,erm,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_erm,True,0.0,False,28.0,28.0,results/adult/missing_demo/,,,False,4.0,cuda:0,True,0.7529940119760479,0.6077844311377245,0.8982035928143712,0.1658299850236963,0.7844311377245509,0.7215568862275449,0.0628742514970059,0.9198473282442748,0.4341317365269461,0.2754491017964072,0.1586826347305389,0.6344827586206897,0.718562874251497,0.497005988023952,0.2215568862275449,0.6916666666666667,0.8502994011976048,0.9461077844311376,0.0958083832335329,0.8987341772151899
[0],0.0,True,miss_s,False,False,60,1000,64,0.001,1e-08,0.5,0.0,erm,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_erm,True,0,False,29,29,results/adult/missing_demo/,,,False,4,cuda:0,True,0.8031437125748503,0.687125748502994,0.9191616766467066,0.05386534480182119,0.7769461077844312,0.8293413173652695,0.05239520958083832,0.9368231046931408,0.35778443113772457,0.4101796407185629,0.05239520958083832,0.8722627737226277,0.6347305389221557,0.7395209580838323,0.10479041916167664,0.8582995951417004,0.9191616766467066,0.9191616766467066,0.0,1.0
