seed,data,method,wandb_url,Accuracy,TPR,TNR,Renyi preds and s,Accuracy_sens_Label_1.0,Accuracy_sens_Label_0.0,Accuracy_sens_Label_0.0-sens_Label_1.0,Accuracy_sens_Label_0.0÷sens_Label_1.0,prob_pos_sens_Label_1.0,prob_pos_sens_Label_0.0,prob_pos_sens_Label_0.0-sens_Label_1.0,prob_pos_sens_Label_0.0÷sens_Label_1.0,TPR_sens_Label_1.0,TPR_sens_Label_0.0,TPR_sens_Label_0.0-sens_Label_1.0,TPR_sens_Label_0.0÷sens_Label_1.0,TNR_sens_Label_1.0,TNR_sens_Label_0.0,TNR_sens_Label_0.0-sens_Label_1.0,TNR_sens_Label_0.0÷sens_Label_1.0,eta
11,baseline,"dro",(None),0.7919161676646707,0.7395209580838323,0.844311377245509,0.15956112598402045,0.7904191616766467,0.7934131736526946,0.0029940119760478723,0.9962264150943396,0.5269461077844312,0.36826347305389223,0.15868263473053895,0.6988636363636364,0.8173652694610778,0.6616766467065869,0.1556886227544909,0.8095238095238096,0.7634730538922155,0.9251497005988024,0.16167664670658688,0.8252427184466019,0.3
3,baseline,"dro",(None),0.5,0.0,1.0,1.0,0.5,0.5,0.0,1.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1.0,1.0,0.0,1.0,1.0
12,baseline,"dro",(None),0.7874251497005988,0.7155688622754491,0.8592814371257484,0.17849962728434757,0.7859281437125748,0.7889221556886228,0.0029940119760479833,0.9962049335863377,0.5164670658682635,0.3398203592814371,0.1766467065868264,0.6579710144927535,0.8023952095808383,0.6287425149700598,0.17365269461077848,0.7835820895522387,0.7694610778443114,0.9491017964071856,0.17964071856287422,0.8107255520504733,0.1
4,baseline,"dro",(None),0.7904191616766467,0.7125748502994012,0.8682634730538922,0.1848892362786203,0.8188622754491018,0.7619760479041916,0.05688622754491024,0.9305301645338208,0.5134730538922155,0.33083832335329344,0.1826347305389221,0.6443148688046648,0.8323353293413174,0.592814371257485,0.23952095808383234,0.7122302158273381,0.8053892215568862,0.9311377245508982,0.12574850299401197,0.864951768488746,0.01
14,baseline,"dro",(None),0.8023952095808383,0.7395209580838323,0.8652694610778443,0.14184450293789544,0.8158682634730539,0.7889221556886228,0.026946107784431073,0.9669724770642203,0.5074850299401198,0.36676646706586824,0.14071856287425155,0.7227138643067845,0.8233532934131736,0.655688622754491,0.16766467065868262,0.7963636363636364,0.8083832335329342,0.9221556886227545,0.11377245508982037,0.8766233766233766,0.3
4,baseline,"dro",(None),0.7851796407185628,0.7020958083832335,0.8682634730538922,0.19887260807044393,0.8173652694610778,0.7529940119760479,0.06437125748502992,0.9212454212454213,0.5149700598802395,0.3188622754491018,0.1961077844311377,0.6191860465116279,0.8323353293413174,0.5718562874251497,0.26047904191616766,0.6870503597122303,0.8023952095808383,0.9341317365269461,0.13173652694610782,0.8589743589743589,0.3
14,baseline,"dro",(None),0.5,0.0,1.0,1.0,0.5,0.5,0.0,1.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1.0,1.0,0.0,1.0,1.0
4,baseline,"dro",(None),0.5,0.0,1.0,1.0,0.5,0.5,0.0,1.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1.0,1.0,0.0,1.0,1.0
15,baseline,"dro",(None),0.5,0.0,1.0,1.0,0.5,0.5,0.0,1.0,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,1.0,1.0,0.0,1.0,1.0
5,baseline,"dro",(None),0.8293413173652695,0.8158682634730539,0.842814371257485,0.047921592535859106,0.7979041916167665,0.8607784431137725,0.06287425149700598,0.9269565217391305,0.5104790419161677,0.4625748502994012,0.047904191616766456,0.906158357771261,0.8083832335329342,0.8233532934131736,0.014970059880239472,0.9818181818181819,0.7874251497005988,0.8982035928143712,0.11077844311377238,0.8766666666666667,0.01
