bias.missing_s,bias.mixing_factor,bias.adult_biased_train,bias.log_dataset,baseline.greyscale,baseline.labelled_context_set,baseline.epochs,baseline.test_batch_size,baseline.batch_size,baseline.lr,baseline.weight_decay,baseline.eta,baseline.c,baseline.method,baseline.oversample,data.log_name,data.data_pcnt,data.context_pcnt,data.test_pcnt,data.root,data.transductive,data.drop_native,data.adult_split,data.drop_discrete,data.adult_balanced_test,data.balance_all_quadrants,misc.cluster_label_file,misc.exp_group,misc.log_method,misc.use_wandb,misc.gpu,misc.use_amp,misc.seed,misc.data_split_seed,misc.save_dir,misc.results_csv,misc.resume,misc.evaluate,misc.num_workers,misc.device,misc.use_gpu,Accuracy (erm),TPR (erm),TNR (erm),Renyi preds and s (erm),Accuracy_sex_Male_1.0 (erm),Accuracy_sex_Male_0.0 (erm),Accuracy_sex_Male_0.0-sex_Male_1.0 (erm),Accuracy_sex_Male_0.0÷sex_Male_1.0 (erm),prob_pos_sex_Male_1.0 (erm),prob_pos_sex_Male_0.0 (erm),prob_pos_sex_Male_0.0-sex_Male_1.0 (erm),prob_pos_sex_Male_0.0÷sex_Male_1.0 (erm),TPR_sex_Male_1.0 (erm),TPR_sex_Male_0.0 (erm),TPR_sex_Male_0.0-sex_Male_1.0 (erm),TPR_sex_Male_0.0÷sex_Male_1.0 (erm),TNR_sex_Male_1.0 (erm),TNR_sex_Male_0.0 (erm),TNR_sex_Male_0.0-sex_Male_1.0 (erm),TNR_sex_Male_0.0÷sex_Male_1.0 (erm)
[0],0.0,True,miss_s,False,True,60,1000,64,0.001,1e-08,0.5,0.0,erm,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_erm,True,0,False,21,21,results/adult/missing_demo_oracle,,,False,4,cuda:0,True,0.7574850299401198,0.5703592814371258,0.9446107784431138,0.0774875190068621,0.7649700598802395,0.75,0.0149700598802394,0.980430528375734,0.3488023952095808,0.2769461077844311,0.0718562874251497,0.7939914163090128,0.6137724550898204,0.5269461077844312,0.0868263473053891,0.8585365853658538,0.9161676646706588,0.9730538922155688,0.0568862275449101,0.9415384615384615
[0],0.0,True,miss_s,False,True,60,1000,64,0.001,1e-08,0.5,0.0,erm,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_erm,True,0,False,23,23,results/adult/missing_demo_oracle,,,False,4,cuda:0,True,0.8016467065868264,0.6541916167664671,0.9491017964071856,0.0924343739961853,0.8098802395209581,0.7934131736526946,0.0164670658682635,0.9796672828096118,0.3967065868263473,0.3083832335329341,0.0883233532934131,0.7773584905660377,0.7065868263473054,0.6017964071856288,0.1047904191616766,0.8516949152542374,0.9131736526946108,0.9850299401197604,0.0718562874251497,0.9270516717325228
[0],0.0,True,miss_s,False,True,60,1000,64,0.001,1e-08,0.5,0.0,erm,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_erm,True,0,False,22,22,results/adult/missing_demo_oracle,,,False,4,cuda:0,True,0.7776946107784432,0.6212574850299402,0.934131736526946,0.0709261480610022,0.7574850299401198,0.7979041916167665,0.0404191616766467,0.949343339587242,0.3772455089820359,0.309880239520958,0.0673652694610778,0.8214285714285714,0.6347305389221557,0.6077844311377245,0.0269461077844311,0.9575471698113208,0.8802395209580839,0.9880239520958084,0.1077844311377245,0.890909090909091
[0],0.0,True,miss_s,False,True,60,1000,64,0.001,1e-08,0.5,0.0,erm,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_erm,True,0,False,24,24,results/adult/missing_demo_oracle,,,False,4,cuda:0,True,0.7365269461077845,0.5553892215568862,0.9176646706586826,0.1156397118208436,0.7320359281437125,0.7410179640718563,0.0089820359281437,0.987878787878788,0.3727544910179641,0.2649700598802395,0.1077844311377245,0.7108433734939759,0.6047904191616766,0.5059880239520959,0.0988023952095807,0.8366336633663367,0.8592814371257484,0.9760479041916168,0.1167664670658683,0.8803680981595091
[0],0.0,True,miss_s,False,True,60,1000,64,0.001,1e-08,0.5,0.0,erm,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_erm,True,0,False,18,18,results/adult/missing_demo_oracle,,,False,4,cuda:0,True,0.7447604790419161,0.5224550898203593,0.9670658682634732,0.1119758044656132,0.7799401197604791,0.7095808383233533,0.0703592814371257,0.90978886756238,0.3278443113772455,0.2275449101796407,0.1002994011976048,0.6940639269406392,0.6077844311377245,0.437125748502994,0.1706586826347305,0.7192118226600985,0.9520958083832336,0.9820359281437124,0.029940119760479,0.9695121951219512
[0],0.0,True,miss_s,False,True,60,1000,64,0.001,1e-08,0.5,0.0,erm,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_erm,True,0,False,26,26,results/adult/missing_demo_oracle,,,False,4,cuda:0,True,0.7687125748502994,0.6017964071856288,0.93562874251497,0.0809937148233165,0.7604790419161677,0.7769461077844312,0.0164670658682635,0.978805394990366,0.3712574850299401,0.2949101796407186,0.0763473053892215,0.7943548387096775,0.6317365269461078,0.5718562874251497,0.0598802395209581,0.90521327014218,0.8892215568862275,0.9820359281437124,0.092814371257485,0.9054878048780488
[0],0.0,True,miss_s,False,True,60,1000,64,0.001,1e-08,0.5,0.0,erm,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_erm,True,0,False,27,27,results/adult/missing_demo_oracle,,,False,4,cuda:0,True,0.780688622754491,0.6302395209580839,0.9311377245508982,0.0455228736628508,0.7844311377245509,0.7769461077844312,0.0074850299401196,0.9904580152671756,0.3712574850299401,0.3278443113772455,0.0434131736526945,0.8830645161290323,0.655688622754491,0.6047904191616766,0.0508982035928143,0.9223744292237442,0.9131736526946108,0.9491017964071856,0.0359281437125748,0.9621451104100948
[0],0.0,True,miss_s,False,True,60,1000,64,0.001,1e-08,0.5,0.0,erm,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_erm,True,0,False,29,29,results/adult/missing_demo_oracle,,,False,4,cuda:0,True,0.7672155688622755,0.5763473053892215,0.9580838323353292,0.0631667788207915,0.7754491017964071,0.7589820359281437,0.0164670658682634,0.9787644787644788,0.3383233532934132,0.279940119760479,0.0583832335329341,0.8274336283185841,0.6137724550898204,0.5389221556886228,0.0748502994011975,0.8780487804878049,0.937125748502994,0.9790419161676648,0.0419161676646706,0.9571865443425076
[0],0.0,True,miss_s,False,True,60,1000,64,0.001,1e-08,0.5,0.0,erm,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_erm,True,0,False,25,25,results/adult/missing_demo_oracle,,,False,4,cuda:0,True,0.7597305389221557,0.5898203592814372,0.9296407185628742,0.0557105225387395,0.7514970059880239,0.7679640718562875,0.0164670658682635,0.9785575048732944,0.3562874251497006,0.3038922155688622,0.0523952095808383,0.8529411764705882,0.6077844311377245,0.5718562874251497,0.0359281437125748,0.9408866995073892,0.8952095808383234,0.9640718562874252,0.0688622754491018,0.9285714285714284
[0],0.0,True,miss_s,False,True,60,1000,64,0.001,1e-08,0.5,0.0,erm,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_erm,True,0,False,28,28,results/adult/missing_demo_oracle,,,False,4,cuda:0,True,0.7574850299401198,0.5868263473053892,0.9281437125748503,0.08600296355509932,0.7679640718562875,0.7470059880239521,0.020958083832335328,0.9727095516569201,0.36976047904191617,0.28892215568862273,0.08083832335329344,0.7813765182186234,0.6377245508982036,0.5359281437125748,0.10179640718562877,0.84037558685446,0.8982035928143712,0.9580838323353293,0.05988023952095811,0.9375
