bias.missing_s,bias.mixing_factor,bias.adult_biased_train,bias.log_dataset,baseline.greyscale,baseline.labelled_context_set,baseline.epochs,baseline.test_batch_size,baseline.batch_size,baseline.lr,baseline.weight_decay,baseline.eta,baseline.c,baseline.method,baseline.oversample,data.log_name,data.data_pcnt,data.context_pcnt,data.test_pcnt,data.root,data.transductive,data.drop_native,data.adult_split,data.drop_discrete,data.adult_balanced_test,data.balance_all_quadrants,misc.cluster_label_file,misc.exp_group,misc.log_method,misc.use_wandb,misc.gpu,misc.use_amp,misc.seed,misc.data_split_seed,misc.save_dir,misc.results_csv,misc.resume,misc.evaluate,misc.num_workers,misc.device,misc.use_gpu,Accuracy (dro),TPR (dro),TNR (dro),Renyi preds and s (dro),Accuracy_sex_Male_1.0 (dro),Accuracy_sex_Male_0.0 (dro),Accuracy_sex_Male_0.0-sex_Male_1.0 (dro),Accuracy_sex_Male_0.0÷sex_Male_1.0 (dro),prob_pos_sex_Male_1.0 (dro),prob_pos_sex_Male_0.0 (dro),prob_pos_sex_Male_0.0-sex_Male_1.0 (dro),prob_pos_sex_Male_0.0÷sex_Male_1.0 (dro),TPR_sex_Male_1.0 (dro),TPR_sex_Male_0.0 (dro),TPR_sex_Male_0.0-sex_Male_1.0 (dro),TPR_sex_Male_0.0÷sex_Male_1.0 (dro),TNR_sex_Male_1.0 (dro),TNR_sex_Male_0.0 (dro),TNR_sex_Male_0.0-sex_Male_1.0 (dro),TNR_sex_Male_0.0÷sex_Male_1.0 (dro),eta
[0],0.0,True,miss_s,False,False,60,1000,64,0.001,1e-08,0.01,0.0,dro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_dro,True,0,False,20,20,results/adult/missing_demo/,,,False,4,cuda:0,True,0.7769461077844312,0.6197604790419161,0.934131736526946,0.1040791983716063,0.7904191616766467,0.7634730538922155,0.0269461077844311,0.9659090909090908,0.3922155688622754,0.2934131736526946,0.0988023952095808,0.7480916030534351,0.6826347305389222,0.5568862275449101,0.125748502994012,0.8157894736842104,0.8982035928143712,0.9700598802395208,0.0718562874251497,0.925925925925926,0.01
[0],0.0,True,miss_s,False,False,60,1000,64,0.001,1e-08,0.01,0.0,dro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_dro,True,0,False,22,22,results/adult/missing_demo/,,,False,4,cuda:0,True,0.7357784431137725,0.5449101796407185,0.9266467065868264,0.1765430484991359,0.7589820359281437,0.7125748502994012,0.0464071856287425,0.9388560157790926,0.3907185628742515,0.2275449101796407,0.1631736526946108,0.5823754789272031,0.6497005988023952,0.4401197604790419,0.2095808383233532,0.6774193548387097,0.8682634730538922,0.9850299401197604,0.1167664670658683,0.8814589665653495,0.01
[0],0.0,True,miss_s,False,False,60,1000,64,0.001,1e-08,0.01,0.0,dro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_dro,True,0,False,21,21,results/adult/missing_demo/,,,False,4,cuda:0,True,0.7447604790419161,0.5508982035928144,0.938622754491018,0.15428442426434,0.7784431137724551,0.7110778443113772,0.0673652694610779,0.9134615384615384,0.3772455089820359,0.2350299401197604,0.1422155688622754,0.623015873015873,0.655688622754491,0.4461077844311377,0.2095808383233532,0.680365296803653,0.9011976047904192,0.9760479041916168,0.0748502994011975,0.9233128834355828,0.01
[0],0.0,True,miss_s,False,False,60,1000,64,0.001,1e-08,0.01,0.0,dro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_dro,True,0,False,23,23,results/adult/missing_demo/,,,False,4,cuda:0,True,0.8098802395209581,0.6961077844311377,0.9236526946107784,0.0461200190186698,0.7979041916167665,0.8218562874251497,0.0239520958083832,0.970856102003643,0.3637724550898203,0.4086826347305389,0.0449101796407185,0.8901098901098902,0.6616766467065869,0.7305389221556886,0.0688622754491017,0.9057377049180328,0.934131736526946,0.9131736526946108,0.0209580838323353,0.9775641025641024,0.01
[0],0.0,True,miss_s,False,False,60,1000,64,0.001,1e-08,0.01,0.0,dro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_dro,True,0,False,25,25,results/adult/missing_demo/,,,False,4,cuda:0,True,0.7365269461077845,0.5374251497005988,0.93562874251497,0.1534056619289883,0.7664670658682635,0.7065868263473054,0.0598802395209581,0.921875,0.3712574850299401,0.2305389221556886,0.1407185628742514,0.620967741935484,0.6377245508982036,0.437125748502994,0.2005988023952095,0.6854460093896714,0.8952095808383234,0.9760479041916168,0.0808383233532934,0.9171779141104294,0.01
[0],0.0,True,miss_s,False,False,60,1000,64,0.001,1e-08,0.01,0.0,dro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_dro,True,0,False,24,24,results/adult/missing_demo/,,,False,4,cuda:0,True,0.7672155688622755,0.6482035928143712,0.8862275449101796,0.0631934710660423,0.7215568862275449,0.812874251497006,0.0913173652694611,0.8876611418047882,0.3502994011976048,0.4116766467065868,0.061377245508982,0.8509090909090908,0.5718562874251497,0.7245508982035929,0.1526946107784431,0.7892561983471074,0.8712574850299402,0.9011976047904192,0.029940119760479,0.9667774086378738,0.01
[0],0.0,True,miss_s,False,False,60,1000,64,0.001,1e-08,0.01,0.0,dro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_dro,True,0,False,26,26,results/adult/missing_demo/,,,False,4,cuda:0,True,0.7462574850299402,0.561377245508982,0.9311377245508982,0.1595084150293293,0.7634730538922155,0.7290419161676647,0.0344311377245508,0.9549019607843138,0.3892215568862275,0.2410179640718563,0.1482035928143712,0.6192307692307693,0.6526946107784432,0.4700598802395209,0.1826347305389222,0.720183486238532,0.874251497005988,0.9880239520958084,0.1137724550898203,0.8848484848484849,0.01
[0],0.0,True,miss_s,False,False,60,1000,64,0.001,1e-08,0.01,0.0,dro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_dro,True,0,False,27,27,results/adult/missing_demo/,,,False,4,cuda:0,True,0.718562874251497,0.5029940119760479,0.934131736526946,0.1725490588619941,0.7574850299401198,0.6796407185628742,0.0778443113772455,0.8972332015810276,0.3622754491017964,0.2065868263473053,0.155688622754491,0.5702479338842975,0.6197604790419161,0.3862275449101796,0.2335329341317364,0.6231884057971014,0.8952095808383234,0.9730538922155688,0.0778443113772454,0.92,0.01
[0],0.0,True,miss_s,False,False,60,1000,64,0.001,1e-08,0.01,0.0,dro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_dro,True,0,False,28,28,results/adult/missing_demo/,,,False,4,cuda:0,True,0.7559880239520959,0.6077844311377245,0.9041916167664672,0.1630142102557922,0.7889221556886228,0.7230538922155688,0.0658682634730539,0.9165085388994306,0.4296407185628742,0.2739520958083832,0.1556886227544909,0.637630662020906,0.718562874251497,0.497005988023952,0.2215568862275449,0.6916666666666667,0.8592814371257484,0.9491017964071856,0.0898203592814371,0.9053627760252364,0.01
[0],0.0,True,miss_s,False,False,60,1000,64,0.001,1e-08,0.01,0.0,dro,True,adult,1.0,0.4,0.2,,False,True,Sex,False,True,True,,,baseline_dro,True,0,False,29,29,results/adult/missing_demo/,,,False,4,cuda:0,True,0.8068862275449101,0.6961077844311377,0.9176646706586826,0.04912507507890751,0.7844311377245509,0.8293413173652695,0.04491017964071864,0.9458483754512634,0.3652694610778443,0.41317365269461076,0.047904191616766456,0.8840579710144928,0.6497005988023952,0.7425149700598802,0.09281437125748504,0.875,0.9191616766467066,0.9161676646706587,0.0029940119760478723,0.996742671009772,0.01
